,City,State,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Employed,Unemployment,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Population,Violent crime,Murder and nonnegligent manslaughter,Rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny- theft,Motor vehicle theft,Arson,Rent,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10,Level of Concern,lat,lon,Crime Rate per 1000,Crime Rating
0,Akron,OH,267774,129620,138083,1.9,64.2,26.6,0.1,2.5,0.0,19923.9,3273.4,11249.8,1681.6,3729.7000000000016,4852.599999999999,126247,1451.3000000000006,85.2,9.5,3.5,0.0,4437.7,3220.800000000001,3724.2,881.9000000000003,2298.4,79.7,8.6,3.8,2.1,0.5,2.5,20.4,197882,1782,27,181,328,1246,6568,1686,4305,577,65,911,2020,274,203,68,3,0,0,0,107,63,43,0,0,132,0,142,0,Good,41.083064,-81.518485,42.2,High
1,Albany,GA,93421,43571,49835,3.2,36.6,56.8,0.1,0.8,0.0,22285.7,4331.2,11906.0,1945.7,1203.5,1684.9000000000003,35704,640.8,73.0,20.6,4.4,0.1,1284.1,890.9000000000002,1099.6000000000004,419.0,736.6,78.1,11.9,1.6,1.7,0.5,3.9,19.6,74989,790,12,32,165,581,3452,729,2489,234,17,814,2020,244,182,60,2,0,0,0,114,63,37,0,0,0,0,244,0,Good,42.7439143,-73.8016558,56.57,High
2,Albany,NY,147794,70664,77096,7.1,58.3,21.9,0.1,7.3,0.0,25225.5,4361.2,14503.5,2087.3,1439.7,1504.2,74293,474.3999999999999,72.0,22.5,3.5,0.0,3199.799999999999,1606.5999999999997,1842.2000000000005,292.6,450.6999999999999,66.7,6.4,11.5,9.6,1.4,2.4,17.7,97221,736,4,60,189,483,2919,445,2315,159,16,1205,2020,274,240,34,0,0,0,0,75,53,39,1,0,169,0,104,0,Good,42.6511674,-73.754968,37.59,High
3,Albany,OR,61555,30378,31168,10.4,81.7,0.3,0.6,1.0,0.1,24650.0,3443.3,12189.9,1602.5,315.4000000000001,454.4,27721,141.5,76.2,13.9,5.1,0.0,609.0,347.69999999999993,414.5,188.2,284.49999999999994,76.2,9.3,0.1,2.0,1.2,4.3,18.0,54993,70,1,10,16,43,1467,128,1242,97,17,1197,2020,182,161,21,0,0,0,0,70,51,19,0,0,0,0,182,0,Good,44.6365071,-123.1059324,27.95,High
4,Albuquerque,NM,632237,309415,322758,46.8,41.0,2.1,4.8,2.2,0.0,37348.2,6167.8,19901.2,2820.5,3816.9,5173.299999999998,292907,1335.6000000000004,72.7,19.3,5.6,0.1,8237.599999999997,3912.8,4581.300000000002,1589.6000000000006,1444.3000000000004,79.0,8.1,1.9,2.2,2.4,4.5,20.2,561920,7596,84,486,1699,5327,26059,0,20634,5425,98,1013,2020,183,101,82,0,0,0,0,100,65,50,1,0,127,0,25,30,Good,35.0841034,-106.6509851,59.89,High
5,Alexandria,LA,55528,26523,28994,2.2,38.7,53.8,0.3,2.9,0.0,21155.3,4492.1,12632.5,2342.3,619.8000000000002,772.6000000000001,22425,270.80000000000007,76.1,18.5,4.1,0.2,760.6,771.9999999999999,565.0000000000001,178.70000000000005,265.0,76.8,9.5,3.7,1.9,4.0,2.2,19.1,46630,732,9,16,132,575,4180,892,3056,232,0,862,2020,61,57,3,1,0,0,0,103,47,22,0,0,0,0,61,0,Good,31.199004,29.894378,105.34,High
6,Allentown,PA,170700,82654,88016,31.1,53.4,7.1,0.1,2.6,0.0,26325.1,3898.4,12953.2,1878.6,1306.1999999999996,1830.8000000000009,75219,627.8999999999999,87.3,5.4,3.6,0.1,1811.4,1220.9,1472.2,381.6999999999999,1306.1,71.7,12.0,3.8,3.5,0.6,3.9,21.8,121855,471,7,64,170,230,2782,521,2018,243,5,1230,2020,244,206,38,0,0,0,0,93,54,39,0,4,148,0,92,0,Good,40.6022059,-75.4712794,26.7,High
7,Altoona,PA,61086,30115,30966,1.0,94.4,1.8,0.0,0.4,0.0,27863.0,4461.0,14786.1,2161.3,511.10000000000014,713.3000000000002,27254,168.3,79.2,11.1,4.2,0.1,854.9000000000002,529.1,745.5999999999998,215.29999999999995,411.9,82.1,7.8,1.4,2.9,1.2,2.3,17.9,43429,264,0,83,22,159,675,142,481,52,9,855,2020,239,206,33,0,0,0,0,85,54,40,0,0,155,1,83,0,Good,40.518681,-78.394736,21.62,Medium
8,Amarillo,TX,222931,112718,110176,30.3,55.9,6.5,0.3,3.1,0.0,30834.8,5172.4,15376.4,2348.0,1612.8000000000006,2103.8,106370,365.4,79.3,12.3,5.6,0.0,2692.0999999999995,1998.199999999999,2375.000000000001,959.2999999999996,1349.5999999999997,81.0,11.5,0.6,1.3,0.7,2.1,16.7,201036,1447,15,161,246,1025,7835,1439,5425,971,39,965,2020,244,160,77,7,0,0,0,138,74,46,0,0,212,26,6,0,Good,35.2072185,-101.8338246,46.17,High
9,Anacortes,WA,21166,10086,11078,3.8,87.3,0.6,0.7,1.8,0.2,46222.4,4304.2,29447.6,2444.0,91.9,110.1,8888,39.9,61.7,14.5,12.3,0.2,313.6,149.8,167.89999999999995,82.8,82.2,73.3,6.1,2.0,5.2,3.1,9.9,19.6,17483,20,1,2,6,11,387,67,306,14,0,1286,2020,187,187,0,0,0,0,0,44,38,19,0,0,71,0,116,0,Good,48.5020123,-122.6237356,23.28,High
10,Anaheim,CA,354764,176838,177884,52.2,25.2,2.1,0.1,17.4,0.6,40881.2,6112.8,15922.3,2286.8,1556.8999999999994,2111.7000000000007,171545,680.8999999999999,84.4,9.7,5.3,0.1,2938.600000000001,2104.600000000001,2560.9000000000005,980.6,1492.1,75.9,11.9,2.8,2.7,1.5,3.3,27.0,353915,1120,8,141,396,575,8258,1123,5904,1231,44,2507,2020,183,58,87,25,11,2,0,206,140,62,1,17,106,0,57,2,Moderate,33.8347516,-117.911732,26.5,High
