Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10,Level of Concern,City,State
2020,183,158,24,1,0,0,0,103,57,26,4,0,0,0,110,69,Good,Anchorage, AK
2020,183,132,41,3,7,0,0,167,89,35,1,0,81,1,97,3,Good,Fairbanks, AK
2020,177,174,3,0,0,0,0,66,35,13,0,0,0,0,161,16,Good,Juneau, AK
2020,245,145,97,3,0,0,0,129,67,47,1,1,93,7,143,0,Good,Birmingham, AL
2020,168,159,9,0,0,0,0,74,48,37,0,0,130,0,38,0,Good,Daphne, AL
2020,202,181,21,0,0,0,0,71,51,34,0,0,111,0,91,0,Good,Decatur, AL
2020,168,159,9,0,0,0,0,74,48,37,0,0,130,0,38,0,Good,Fairhope, AL
2020,168,159,9,0,0,0,0,74,48,37,0,0,130,0,38,0,Good,Foley, AL
2020,242,234,8,0,0,0,0,90,46,37,0,0,230,0,12,0,Good,Fort Payne, AL
2020,169,161,8,0,0,0,0,92,46,35,0,0,137,0,32,0,Good,Gadsden, AL
2020,245,145,97,3,0,0,0,129,67,47,1,1,93,7,143,0,Good,Hoover, AL
2020,182,158,24,0,0,0,0,88,54,40,0,0,79,0,103,0,Good,Huntsville, AL
2020,203,184,19,0,0,0,0,68,50,35,0,0,101,3,99,0,Good,Mobile, AL
2020,209,103,104,2,0,0,0,116,67,51,0,0,31,0,178,0,Moderate,Montgomery, AL
2020,165,159,6,0,0,0,0,97,45,33,0,0,133,0,32,0,Good,Tuscaloosa, AL
2020,221,220,1,0,0,0,0,67,41,31,0,0,221,0,0,0,Good,Arkadelphia, AR
2020,275,207,66,2,0,0,0,132,59,42,1,4,138,0,132,0,Good,Conway, AR
2020,91,79,12,0,0,0,0,89,52,33,0,0,0,0,91,0,Good,El Dorado, AR
2020,274,236,37,1,0,0,0,150,54,40,0,0,194,0,80,0,Good,Fayetteville, AR
2020,211,194,16,1,0,0,0,141,49,34,0,11,107,0,93,0,Good,Fort Smith, AR
