,City,State,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Employed,Unemployment,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Unnamed: 0_x,Population,Violent crime,Murder and nonnegligent manslaughter,Rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny- theft,Motor vehicle theft,Arson,Crime Rate (per 1000 residents),Crime Rating,Unnamed: 0_y,Rent,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10,Level of Concern,lat,lng
0,Anchorage,AK,223042,113049,109977,8.0,55.6,5.4,8.0,9.6,2.8,57115.2,7787.0,26841.7,3621.2,586.0,790.2000000000011,118993,371.9,73.5,19.5,5.3,0.1,2434.4,1122.2,1508.9,461.0,571.5,74.3,10.9,2.2,3.3,3.7,3.8,17.1,4,287731,3581,32,540,621,2388,12261,1692,9038,1531,93,55.06,High,15,1303,2020,183,158,24,1,0,0,0,103,57,26,4,0,0,0,110,69,Good,61.1508,-149.1091
1,Fairbanks,AK,60751,32406,28341,5.5,71.2,3.2,6.9,2.8,0.6,41438.3,7688.9,20210.8,2646.6,170.9,198.2,30492,163.9,63.5,26.4,4.1,0.1,708.2,323.1,462.2,256.9,211.9,75.3,11.8,0.9,4.1,2.7,3.3,16.5,10,31493,247,3,33,52,159,1353,163,1006,184,23,50.8,High,190,1380,2020,183,132,41,3,7,0,0,167,89,35,1,0,81,1,97,3,Good,64.8353,-147.6534
2,Juneau,AK,30216,15465,14750,6.4,66.5,1.0,10.3,6.7,0.9,82937.5,10107.0,39731.2,4833.0,46.9,76.4,16669,27.0,52.3,38.7,8.9,0.1,282.1,88.0,122.8,63.2,43.8,64.3,14.6,5.0,9.1,2.5,4.5,15.3,13,31810,289,3,24,45,217,1292,187,1012,93,16,49.7,High,672,1486,2020,177,174,3,0,0,0,0,66,35,13,0,0,0,0,161,16,Good,58.4546,-134.1739
3,Conway,AR,82431,40485,41936,5.1,76.2,14.9,0.3,1.1,0.2,30933.4,5323.4,15551.0,2698.9,502.4,566.6,40133,150.3,79.0,14.9,5.5,0.1,903.9,512.9,666.6,277.2,314.3,80.7,10.2,0.1,2.8,2.1,3.4,22.0,45,67336,324,2,49,51,222,1842,177,1567,98,8,32.17,High,329,898,2020,275,207,66,2,0,0,0,132,59,42,1,4,138,0,132,0,Good,35.0754,-92.4694
4,Conway,AR,82431,40485,41936,5.1,76.2,14.9,0.3,1.1,0.2,30933.4,5323.4,15551.0,2698.9,502.4,566.6,40133,150.3,79.0,14.9,5.5,0.1,903.9,512.9,666.6,277.2,314.3,80.7,10.2,0.1,2.8,2.1,3.4,22.0,45,67336,324,2,49,51,222,1842,177,1567,98,8,32.17,High,709,703,2020,275,207,66,2,0,0,0,132,59,42,1,4,138,0,132,0,Good,35.0754,-92.4694
5,Fayetteville,AR,97804,48437,49352,7.3,81.7,3.2,0.8,2.5,0.1,18432.2,3193.3,11088.2,1717.6,643.7,644.7,49454,147.9,73.4,15.3,5.7,0.1,1447.8,576.9,763.5,273.0,298.5,77.9,8.9,1.1,2.7,1.3,3.5,20.7,67,88500,396,3,56,52,285,3966,398,3146,422,2,49.29,High,195,833,2020,274,236,37,1,0,0,0,150,54,40,0,0,194,0,80,0,Good,36.0713,-94.166
6,Fort Smith,AR,85513,41470,44028,16.2,63.4,8.3,0.9,4.1,0.0,20287.7,4364.0,12068.6,2213.6,881.0,1229.1,37028,151.2,85.2,7.0,3.4,0.1,909.5,616.8,830.7,278.9,614.2,77.4,10.9,0.5,1.7,1.5,1.6,14.6,71,88041,863,4,97,90,672,5127,812,3929,386,11,68.04,High,204,751,2020,211,194,16,1,0,0,0,141,49,34,0,11,107,0,93,0,Good,35.3493,-94.3695
7,Little Rock,AR,204623,99369,105211,4.6,51.0,37.3,0.1,2.4,0.0,25904.7,4211.6,15087.1,2413.1,1654.4,1977.8,97986,560.4,76.3,17.4,4.0,0.1,3953.5,1519.4,2290.9,544.3,892.9,82.7,8.9,1.2,1.4,1.1,3.2,18.5,105,198382,3009,38,209,391,2371,12145,1760,9316,1069,45,76.39,High,329,898,2020,275,207,66,2,0,0,0,132,59,42,1,4,138,0,132,0,Good,34.7256,-92.3576
8,North Little Rock,AR,67477,32271,35194,4.7,44.8,46.0,0.2,0.7,0.0,23609.5,4343.0,13330.6,2296.5,799.6,1142.1,28400,300.7,76.0,18.3,4.6,0.3,993.8,717.8,760.7,229.2,351.9,79.3,10.2,3.8,1.3,1.6,2.5,19.6,135,66604,562,12,23,106,421,2479,380,1723,376,17,45.66,High,329,898,2020,275,207,66,2,0,0,0,132,59,42,1,4,138,0,132,0,Good,34.7808,-92.2371
9,Rogers,AR,78298,38365,39921,22.5,70.1,1.1,1.0,2.3,0.2,36101.4,5223.3,18588.4,2473.7,304.5,436.1,37739,93.9,86.4,7.7,5.7,0.1,921.5,383.0,739.6,258.6,419.5,85.9,8.2,0.1,1.2,0.7,3.6,19.1,152,69168,330,1,87,21,221,1968,166,1699,103,6,33.22,High,195,833,2020,274,236,37,1,0,0,0,150,54,40,0,0,194,0,80,0,Good,36.3172,-94.1526
10,Texarkana,AR,37065,18188,18876,3.5,57.0,36.4,0.5,0.3,0.0,33527.3,6161.8,20416.9,3226.8,273.8,398.1,15321,103.7,75.6,17.6,6.6,0.0,322.3,230.1,307.9,98.1,235.8,83.1,11.7,0.2,1.8,1.2,1.6,15.1,166,29971,183,4,13,27,139,1130,215,847,68,3,43.81,High,561,863,2020,182,150,31,1,0,0,0,127,55,34,0,0,0,0,182,0,Good,33.4361,-93.996
11,Douglas,AZ,16249,7894,8353,76.0,20.1,1.8,0.5,0.6,0.0,19408.8,3654.8,8667.8,1569.4,266.7,334.7,4854,99.2,64.9,22.1,7.4,0.9,158.4,245.2,156.4,72.8,61.5,70.2,13.0,0.1,3.6,3.0,5.1,16.1,15,15786,10,0,0,0,10,594,88,486,20,0,38.26,High,534,911,2020,274,210,62,2,0,0,0,108,64,45,0,0,231,0,0,43,Good,31.3602,-109.5394
12,Flagstaff,AZ,72627,35435,37185,16.8,64.7,1.1,11.8,1.7,0.1,33317.7,4981.3,16396.4,2493.9,460.5,435.7,37104,155.1,74.4,20.2,4.2,0.2,857.3,467.5,487.9,162.7,186.8,71.9,10.8,1.4,6.1,4.3,3.6,17.0,18,75013,367,1,42,43,281,2371,140,2169,62,33,36.5,High,197,1429,2020,274,227,47,0,0,0,0,93,58,45,0,0,274,0,0,0,Good,35.1872,-111.6195
13,Kingman,AZ,50922,26381,24535,11.0,81.1,1.4,1.8,0.9,0.1,20568.3,2961.9,11145.9,1769.4,418.4,489.2,17042,213.5,76.5,15.4,4.2,0.0,441.0,411.3,474.8,151.1,227.2,77.9,12.2,0.9,1.4,1.3,2.4,20.7,30,30600,100,0,9,12,79,1342,208,1039,95,28,47.12,High,312,962,2020,267,262,4,1,0,0,0,116,34,19,0,0,0,0,3,264,Good,35.217,-114.0105
14,Lake Havasu City,AZ,55634,27567,28060,14.9,81.6,0.5,0.8,0.7,0.0,26396.9,4197.5,15815.3,2490.6,254.6,311.3,20679,169.5,77.5,11.2,10.9,0.1,561.9,413.1,566.9,272.0,261.8,80.0,11.4,0.1,1.3,1.9,4.5,20.2,31,55413,87,1,29,3,54,670,108,519,43,2,13.66,Medium,312,962,2020,267,262,4,1,0,0,0,116,34,19,0,0,0,0,3,264,Good,34.5006,-114.3113
15,Mesa,AZ,513159,253984,259119,24.5,64.6,3.2,1.9,1.7,0.3,37324.0,5911.2,17548.3,2501.5,2841.7,3960.1,234803,1150.8,82.7,9.9,5.7,0.1,5951.5,3347.3,4808.7,1660.8,1681.1,76.5,10.2,1.8,1.7,2.8,5.4,23.5,35,518160,1953,11,286,390,1266,9683,1518,7326,839,27,22.46,High,441,1346,2020,275,51,179,42,3,0,0,199,110,68,1,1,174,0,46,53,Moderate,33.4017,-111.718
16,Phoenix,AZ,1384606,690649,693811,40.5,44.9,5.8,1.6,3.0,0.1,35170.7,5599.3,17358.1,2548.9,10203.6,13422.2,645785,3138.8,82.9,9.3,6.2,0.1,14887.4,9087.6,10971.5,4462.9,4791.7,72.7,11.5,3.5,1.9,2.7,5.1,23.9,44,1688722,11803,131,1139,3197,7336,55974,9471,39427,7076,201,40.14,High,441,1346,2020,275,51,179,42,3,0,0,199,110,68,1,1,174,0,46,53,Moderate,33.5722,-112.0891
17,Prescott,AZ,55326,26966,28349,6.5,87.6,0.4,0.7,0.8,0.0,23701.5,3166.7,14594.4,2258.7,261.1,291.3,19624,170.2,71.0,14.0,7.8,0.0,889.2,383.5,514.5,174.7,142.8,73.5,7.9,0.1,2.7,1.8,6.2,16.9,47,43781,214,1,20,11,182,684,134,518,32,5,20.51,Medium,457,1107,2020,271,205,65,1,0,0,0,119,64,46,0,0,271,0,0,0,Good,34.585,-112.4475
18,Scottsdale,AZ,285180,140057,145093,9.1,81.1,1.3,1.7,4.1,0.1,61456.1,10788.6,38567.3,6223.8,810.5,1147.0,144322,393.1,82.2,8.2,7.4,0.2,5100.3,1165.5,2522.5,293.7,398.7,76.7,5.9,1.0,1.3,2.0,11.2,21.9,52,260464,415,3,136,110,166,5099,662,4173,264,15,21.17,Medium,441,1346,2020,275,51,179,42,3,0,0,199,110,68,1,1,174,0,46,53,Moderate,33.6872,-111.8651
19,Sierra Vista,AZ,46712,21888,24817,25.6,60.7,4.1,0.8,3.1,0.4,35664.2,6326.3,17571.8,2356.3,217.0,325.5,18178,117.8,57.6,31.4,4.1,0.2,585.8,349.8,349.5,107.2,90.1,84.5,8.7,0.2,1.0,2.5,2.2,18.8,54,44310,116,2,7,16,91,987,124,800,63,3,24.89,High,534,911,2020,274,210,62,2,0,0,0,108,64,45,0,0,231,0,0,43,Good,31.563,-110.3153
