City,State_Id,Hispanic,White,Black,Native,Asian,Pacific
Aaronsburg,PA,1.0,97.4,0.0,0.0,0.7,0.0
Abbeville,AL,3.6,64.2,31.4,0.0,0.0,0.0
Abbeville,GA,2.7,58.7,37.1,0.4,0.0,0.0
Abbeville,LA,3.9,77.0,14.2,0.3,2.1,0.0
Abbeville,MS,4.7,60.9,31.3,0.0,0.8,0.0
Abbeville,SC,1.0,68.6,28.2,0.0,0.2,0.0
Abbot,ME,1.8,94.9,0.6,0.1,0.0,0.0
Abbotsford,WI,7.1,90.9,0.0,0.0,0.1,0.0
Abbott,TX,11.3,80.9,2.8,0.0,0.1,0.0
Abbottstown,PA,1.8,94.1,0.3,0.0,0.2,0.0
Abbyville,KS,1.8,96.8,0.0,0.0,0.0,0.0
Abell,MD,1.2,80.5,9.6,0.6,0.0,0.0
Aberdeen,ID,34.2,63.0,0.0,0.4,0.4,0.0
Aberdeen,MD,4.9,64.1,21.7,0.2,3.7,0.0
Aberdeen,MS,1.1,61.4,34.8,0.0,0.1,0.0
Aberdeen,NC,3.0,77.9,13.3,1.7,0.8,0.0
Aberdeen,OH,1.1,94.9,0.9,0.0,0.0,0.0
Aberdeen,SD,2.9,87.5,1.3,3.9,2.9,0.0
Aberdeen,WA,11.3,78.9,1.1,3.0,1.2,0.5
Aberdeen Proving Ground,MD,13.1,46.0,29.4,0.0,4.4,0.0
Abernathy,TX,29.3,60.0,1.8,0.3,0.1,0.0
Abie,NE,0.0,100.0,0.0,0.0,0.0,0.0
Abilene,KS,3.3,93.9,0.5,0.6,0.1,0.0
Abilene,TX,25.7,62.2,6.3,0.3,1.3,0.1
Abingdon,IL,1.0,95.3,0.1,0.0,0.0,0.0
Abingdon,MD,6.1,74.7,12.6,0.0,3.2,0.0
Abingdon,VA,1.2,94.8,1.6,0.0,0.7,0.0
Abington,MA,3.3,81.6,7.4,0.0,1.7,0.0
Abington,PA,4.2,71.6,16.0,0.1,4.4,0.0
Abiquiu,NM,81.0,15.5,0.0,1.2,0.0,0.0
Abita Springs,LA,5.0,80.7,9.6,0.3,1.1,0.0
Abrams,WI,0.9,97.0,0.6,0.4,0.4,0.0
Absaraka,ND,0.0,97.4,0.0,0.0,0.0,0.0
Absarokee,MT,2.8,94.6,0.0,0.7,0.0,0.0
Absecon,NJ,12.4,64.3,10.8,0.1,8.0,0.0
Acampo,CA,29.5,65.8,0.0,0.2,2.2,0.2
Accident,MD,1.5,96.7,0.0,0.0,0.4,0.0
Accokeek,MD,4.4,19.8,63.0,0.8,4.4,0.0
Accomac,VA,9.5,54.2,29.9,0.0,0.1,0.0
Accord,NY,4.1,88.2,2.8,0.1,0.7,0.0
Achille,OK,0.0,66.7,0.0,0.0,0.0,0.0
Ackerly,TX,17.8,81.7,0.0,0.0,0.1,0.0
Ackerman,MS,0.5,66.6,31.9,0.4,0.2,0.1
Ackley,IA,2.1,89.6,0.0,0.1,0.1,0.0
Ackworth,IA,2.2,93.5,0.3,0.3,0.0,1.2
Acme,LA,0.7,69.4,27.8,0.0,0.0,0.0
Acme,PA,0.4,98.8,0.1,0.0,0.1,0.0
Acme,WA,13.0,79.3,0.0,3.6,1.8,0.0
Acra,NY,1.7,93.0,1.2,0.0,2.7,0.0
Acton,CA,20.3,72.1,0.8,0.1,2.1,0.0
Acton,MA,1.3,76.6,1.4,0.0,15.1,0.1
Acton,ME,0.6,98.8,0.1,0.3,0.1,0.0
Acton,MT,3.2,91.6,0.4,2.4,0.0,0.0
Acushnet,MA,2.3,90.1,0.0,0.0,0.4,0.0
Acworth,GA,8.7,71.6,13.0,0.2,2.4,0.0
Acworth,NH,1.4,94.2,0.7,0.0,0.7,0.0
Ada,MI,1.4,92.2,0.7,0.1,3.6,0.0
Ada,MN,5.0,89.1,0.6,1.8,0.2,0.0
Ada,OH,1.7,95.5,0.4,0.0,0.8,0.0
Ada,OK,5.9,64.2,1.8,8.5,0.7,0.1
Adah,PA,1.6,86.5,8.4,0.0,0.0,0.0
Adair,IA,2.3,95.1,0.4,0.0,0.4,0.0
Adair,IL,0.6,97.9,0.9,0.0,0.0,0.0
Adair,OK,1.0,66.8,0.1,19.2,0.0,0.4
Adairsville,GA,3.9,90.4,2.6,0.0,0.5,0.0
Adairville,KY,1.8,87.1,7.8,0.0,0.3,0.0
Adamant,VT,1.3,93.5,0.0,0.0,0.0,0.0
Adams,KY,0.8,97.7,0.0,0.0,0.0,0.0
Adams,MA,1.7,94.9,0.6,0.0,0.3,0.0
Adams,MN,0.8,95.4,0.2,0.0,0.2,0.0
Adams,ND,1.3,91.9,0.0,0.0,0.0,0.0
Adams,NE,0.4,85.9,0.0,0.0,0.1,0.0
Adams,NY,2.1,92.8,1.4,0.2,1.3,0.0
Adams,OR,6.7,76.9,0.7,9.5,0.9,0.3
Adams,TN,4.2,85.3,5.2,0.2,2.4,0.2
Adams,WI,5.0,86.3,5.3,0.8,0.7,0.0
Adams Center,NY,1.9,90.7,1.2,0.1,2.2,0.0
Adams Run,SC,3.1,56.9,38.0,0.0,0.4,0.0
Adamsburg,PA,0.2,98.7,0.0,0.0,0.0,0.0
Adamstown,MD,4.0,84.9,5.3,0.0,2.9,0.0
Adamstown,PA,6.7,86.6,1.3,0.0,3.7,0.0
Adamsville,AL,0.5,62.6,35.0,0.0,0.1,0.0
Adamsville,OH,0.3,95.0,0.6,0.1,0.0,0.0
Adamsville,PA,0.4,98.0,0.0,0.0,0.0,0.0
Adamsville,TN,1.4,91.2,4.8,0.4,0.4,0.2
Addieville,IL,0.9,97.0,0.4,0.0,0.0,0.0
Addis,LA,3.3,62.3,32.2,0.6,0.2,0.0
Addison,AL,0.6,96.1,0.0,0.5,0.6,0.0
Addison,IL,36.0,49.4,4.5,0.0,8.7,0.1
Addison,ME,2.1,94.5,0.1,0.7,0.8,0.1
Addison,MI,1.3,96.0,0.2,0.2,0.1,0.0
Addison,NY,0.8,85.3,0.8,0.0,2.0,0.0
Addison,PA,0.4,99.0,0.3,0.0,0.0,0.0
Addison,TX,26.3,29.9,7.5,0.1,8.1,0.0
Addy,WA,1.3,91.8,0.2,1.3,0.2,0.0
Addyston,OH,1.6,94.3,0.8,0.8,0.0,0.0
Adel,GA,6.6,65.8,25.2,0.3,0.5,0.0
Adel,IA,1.3,95.7,0.2,0.2,1.2,0.0
Adel,OR,7.4,90.2,0.0,0.8,0.0,0.0
Adelanto,CA,49.0,25.8,15.7,0.0,1.1,0.3
Adell,WI,1.7,95.5,0.1,0.1,0.2,0.0
Adelphi,OH,0.4,97.8,0.0,0.0,0.4,0.0
Adena,OH,0.0,97.7,0.2,0.2,0.2,0.0
Adger,AL,1.9,92.0,4.1,0.4,0.0,0.0
Adin,CA,16.9,72.9,0.0,3.4,0.0,0.0
Adirondack,NY,0.5,96.2,0.0,0.0,0.0,0.0
Adkins,TX,26.9,67.1,3.1,0.1,0.1,0.1
Admire,KS,2.6,91.6,0.3,0.0,1.6,0.0
Adolphus,KY,4.2,92.8,0.0,0.0,0.3,0.0
Adona,AR,4.4,90.3,0.2,0.8,0.0,0.0
Adrian,GA,4.6,78.9,15.5,0.0,0.0,0.0
Adrian,MI,13.1,80.1,3.6,0.3,0.2,0.1
