City,State_Id,Employed,Unemployment
Aaronsburg,PA,502,3.1
Abbeville,AL,2485,31.0
Abbeville,GA,824,18.0
Abbeville,LA,10437,76.50000000000001
Abbeville,MS,887,17.3
Abbeville,SC,4836,62.900000000000006
Abbot,ME,264,11.7
Abbotsford,WI,1447,5.199999999999999
Abbott,TX,436,8.4
Abbottstown,PA,2264,6.300000000000001
Abbyville,KS,105,5.2
Abell,MD,139,5.5
Aberdeen,ID,1102,5.0
Aberdeen,MD,11529,64.0
Aberdeen,MS,4473,42.800000000000004
Aberdeen,NC,5920,43.2
Aberdeen,OH,947,8.3
Aberdeen,SD,16709,14.499999999999998
Aberdeen,WA,8498,83.7
Aberdeen Proving Ground,MD,833,5.1
Abernathy,TX,1739,7.9
Abie,NE,1,0.0
Abilene,KS,4561,25.599999999999998
Abilene,TX,56165,251.89999999999995
Abingdon,IL,1599,15.2
Abingdon,MD,16223,46.800000000000004
Abingdon,VA,10740,72.89999999999999
Abington,MA,9313,21.7
Abington,PA,8935,62.3
Abiquiu,NM,29,8.3
Abita Springs,LA,3987,29.700000000000003
Abrams,WI,1442,5.5
Absaraka,ND,20,0.0
Absarokee,MT,416,6.9
Absecon,NJ,19460,138.2
Acampo,CA,3470,13.6
Accident,MD,913,10.1
Accokeek,MD,6190,20.3
Accomac,VA,749,18.4
Accord,NY,1904,30.0
Achille,OK,1,0.0
Ackerly,TX,176,3.6
Ackerman,MS,1228,32.5
Ackley,IA,1295,15.1
Ackworth,IA,302,8.2
Acme,LA,36,4.9
Acme,PA,1866,25.5
Acme,WA,154,17.1
Acra,NY,331,11.3
Acton,CA,3574,33.5
Acton,MA,12193,25.400000000000002
Acton,ME,1314,4.6
Acton,MT,133,2.0
Acushnet,MA,5257,19.9
Acworth,GA,49407,161.0
Acworth,NH,68,2.9
Ada,MI,9987,35.6
Ada,MN,1137,10.0
Ada,OH,4149,22.8
Ada,OK,14121,51.00000000000001
Adah,PA,497,30.0
Adair,IA,667,7.8
Adair,IL,163,6.7
Adair,OK,1546,6.800000000000001
Adairsville,GA,6592,47.49999999999999
Adairville,KY,931,10.5
Adamant,VT,44,3.9
Adams,KY,70,6.2
Adams,MA,4216,33.4
Adams,MN,700,1.9
Adams,ND,165,1.0
Adams,NE,844,4.5
Adams,NY,2065,32.1
Adams,OR,458,28.8
Adams,TN,2446,16.0
Adams,WI,1211,29.8
Adams Center,NY,1042,15.100000000000001
Adams Run,SC,843,15.0
Adamsburg,PA,116,5.6
Adamstown,MD,1853,17.0
Adamstown,PA,163,3.0
Adamsville,AL,3108,51.8
Adamsville,OH,482,6.4
Adamsville,PA,149,10.2
Adamsville,TN,1870,54.3
Addieville,IL,583,3.9
Addis,LA,3147,10.3
Addison,AL,980,33.5
Addison,IL,19598,82.6
Addison,ME,536,8.6
Addison,MI,817,24.7
Addison,NY,2326,29.8
Addison,PA,243,8.3
Addison,TX,11268,18.0
Addy,WA,500,29.8
Addyston,OH,394,8.1
Adel,GA,4193,20.200000000000003
Adel,IA,3463,14.5
Adel,OR,47,4.9
Adelanto,CA,9114,67.8
Adell,WI,1022,11.899999999999999
Adelphi,OH,131,6.3
Adena,OH,1105,17.4
Adger,AL,1123,27.9
Adin,CA,22,1.7
Adirondack,NY,163,4.9
Adkins,TX,3778,27.900000000000002
Admire,KS,166,0.6
Adolphus,KY,910,23.4
Adona,AR,185,22.3
Adrian,GA,1030,38.9
Adrian,MI,17387,71.4
Adrian,MN,1015,7.4
Adrian,MO,2241,6.6
Adrian,OR,209,5.2
Adrian,PA,443,14.3
Adrian,TX,222,3.7
Advance,MO,1293,15.5
Advance,NC,6829,12.9
Afton,IA,801,12.100000000000001
Afton,MI,298,24.0
Afton,MN,1508,2.9
Afton,NY,1067,16.9
Afton,OK,2785,25.299999999999997
Afton,TN,2054,48.8
Afton,TX,47,14.3
Afton,VA,1954,9.3
Afton,WY,1231,15.0
Agar,SD,69,0.0
Agate,CO,225,9.5
Agawam,MA,8486,21.900000000000002
Agency,IA,513,9.5
Agency,MO,769,8.100000000000001
Agenda,KS,106,1.0
Ages Brookside,KY,2,8.3
Agness,OR,58,19.4
Agoura Hills,CA,11812,31.599999999999998
Agra,KS,187,0.9
Agra,OK,573,20.8
Agua Dulce,TX,36,6.5
Aguanga,CA,1617,51.2
Aguilar,CO,134,11.9
Ahmeek,MI,72,13.1
Ahoskie,NC,4932,70.5
Ahsahka,ID,53,6.1
Ahwahnee,CA,325,43.2
Aiea,HI,19309,40.6
Aiken,SC,28159,179.79999999999998
Ailey,GA,738,19.9
Aimwell,LA,70,1.8
Ainsworth,IA,660,4.4
Ainsworth,NE,1305,0.6
Airville,PA,1559,35.8
Airway Heights,WA,1696,8.6
Aitkin,MN,3624,55.099999999999994
Akeley,MN,672,22.0
Akron,AL,372,14.2
Akron,CO,1282,7.8999999999999995
Akron,IA,1157,3.6
Akron,IN,1495,23.0
Akron,MI,625,16.9
Akron,NY,5068,31.5
Akron,OH,126247,1451.3000000000006
Akron,PA,2411,14.8
Alabaster,AL,17021,78.5
Alachua,FL,6861,28.1
Aladdin,WY,381,6.7
Alamance,NC,392,2.1
Alameda,CA,40248,85.39999999999999
Alamo,CA,6560,24.0
Alamo,GA,904,23.5
Alamo,IN,68,4.9
Alamo,ND,147,5.1
Alamo,NV,281,7.7
Alamo,TN,1708,16.6
Alamo,TX,11513,63.5
Alamogordo,NM,15614,115.59999999999998
Alamosa,CO,6274,39.2
Alanson,MI,2343,38.5
Alapaha,GA,850,36.5
Alba,TX,1956,11.0
Albany,CA,10371,44.099999999999994
Albany,GA,35704,640.8
Albany,IL,577,8.5
Albany,IN,1693,19.3
Albany,KY,3717,36.7
Albany,LA,1518,5.7
Albany,MN,2783,11.6
Albany,MO,1069,3.8
Albany,NY,74293,474.3999999999999
Albany,OH,2234,51.0
Albany,OR,27721,141.5
Albany,TX,957,7.0
Albany,VT,57,4.9
Albany,WI,1375,6.5
Albemarle,NC,11569,82.60000000000001
Albers,IL,958,13.3
Albert,KS,116,11.1
Albert City,IA,526,12.200000000000001
Albert Lea,MN,10315,40.7
Alberta,AL,119,37.6
Alberta,MN,164,3.0
Alberta,VA,614,25.1
Alberton,MT,655,15.4
Albertson,NC,1201,12.3
Albertson,NY,3467,16.7
Albertville,AL,14003,84.49999999999999
Albertville,MN,6747,8.3
Albia,IA,2877,17.799999999999997
Albin,WY,113,2.5
Albion,CA,251,7.9
Albion,IA,417,6.3
Albion,ID,113,5.1
Albion,IL,1639,17.9
Albion,IN,3645,24.700000000000003
Albion,ME,977,4.7
Albion,MI,5660,80.4
Albion,NE,1422,3.3
Albion,NY,5033,43.699999999999996
Albion,PA,1938,33.8
Alborn,MN,242,9.7
Albright,WV,775,15.700000000000001
Albrightsville,PA,2822,41.4
Albuquerque,NM,292907,1335.6000000000006
Alburgh,VT,950,6.5
Alburnett,IA,573,3.3
Alburtis,PA,3160,15.900000000000002
Alcester,SD,827,4.5
Alcoa,TN,3252,20.0
