City,State_Id,PrivateWork,PublicWork,SelfEmployed,FamilyWork
Aaronsburg,PA,76.5,10.8,12.4,0.0
Abbeville,AL,79.5,14.7,5.2,0.0
Abbeville,GA,59.3,30.3,9.5,0.0
Abbeville,LA,81.2,11.5,5.2,0.0
Abbeville,MS,71.7,20.5,6.7,0.0
Abbeville,SC,76.1,13.5,6.1,0.1
Abbot,ME,67.0,16.5,13.9,0.0
Abbotsford,WI,60.7,3.4,7.8,0.1
Abbott,TX,73.6,10.4,7.0,0.3
Abbottstown,PA,80.7,10.1,3.5,0.0
Abbyville,KS,68.0,7.0,5.0,0.0
Abell,MD,55.4,33.8,6.5,2.9
Aberdeen,ID,70.4,21.9,7.6,0.0
Aberdeen,MD,73.9,22.6,3.2,0.1
Aberdeen,MS,81.4,13.8,4.0,0.1
Aberdeen,NC,75.2,14.6,8.6,0.0
Aberdeen,OH,86.4,8.2,5.3,0.0
Aberdeen,SD,81.0,11.4,7.2,0.2
Aberdeen,WA,69.7,20.9,7.9,0.1
Aberdeen Proving Ground,MD,57.7,40.3,1.7,0.0
Abernathy,TX,86.3,9.3,4.1,0.1
Abie,NE,100.0,0.0,0.0,0.0
Abilene,KS,62.1,13.5,7.1,0.4
Abilene,TX,77.3,15.1,6.0,0.2
Abingdon,IL,73.4,12.2,8.9,0.0
Abingdon,MD,75.2,21.0,3.6,0.0
Abingdon,VA,78.5,15.2,5.4,0.0
Abington,MA,83.8,12.2,2.4,0.2
Abington,PA,85.0,10.3,4.3,0.0
Abiquiu,NM,27.6,62.1,10.3,0.0
Abita Springs,LA,79.1,10.7,5.8,0.1
Abrams,WI,82.8,10.4,6.2,0.1
Absaraka,ND,80.0,10.0,5.0,0.0
Absarokee,MT,68.0,6.6,7.7,0.3
Absecon,NJ,78.2,16.7,3.5,0.2
Acampo,CA,68.0,16.7,14.9,0.3
Accident,MD,73.6,14.2,11.6,0.3
Accokeek,MD,59.1,36.2,2.3,0.0
Accomac,VA,72.5,17.3,5.1,0.0
Accord,NY,71.9,16.1,11.7,0.0
Achille,OK,0.0,0.0,0.0,0.0
Ackerly,TX,56.6,4.6,12.0,0.8
Ackerman,MS,68.7,23.9,6.5,0.4
Ackley,IA,78.4,10.0,10.5,0.0
Ackworth,IA,79.5,11.3,7.3,0.0
Acme,LA,72.2,16.7,5.6,0.0
Acme,PA,68.5,6.4,4.7,0.0
Acme,WA,73.4,21.4,5.2,0.0
Acra,NY,68.6,23.2,6.4,0.0
Acton,CA,74.2,12.8,6.8,0.1
Acton,MA,84.6,7.8,4.2,0.0
Acton,ME,76.0,13.8,4.5,0.0
Acton,MT,76.7,13.5,9.0,0.0
Acushnet,MA,84.9,10.1,1.8,0.4
Acworth,GA,82.5,11.3,5.7,0.1
Acworth,NH,73.5,16.2,8.8,0.0
Ada,MI,84.1,6.5,5.7,0.1
Ada,MN,69.8,13.7,14.3,0.1
Ada,OH,82.7,11.5,4.7,0.3
Ada,OK,66.0,25.7,5.7,0.4
Adah,PA,83.6,12.3,3.2,0.0
Adair,IA,74.1,14.4,10.4,0.4
Adair,IL,69.3,17.8,11.0,0.0
Adair,OK,70.2,18.8,7.0,0.3
Adairsville,GA,80.3,13.9,5.0,0.0
Adairville,KY,86.8,3.0,3.6,0.8
Adamant,VT,68.2,20.5,9.1,0.0
Adams,KY,82.9,8.6,5.7,0.0
Adams,MA,76.7,13.1,7.4,0.6
Adams,MN,80.4,8.4,7.6,0.0
Adams,ND,65.5,12.1,21.2,0.0
Adams,NE,54.6,10.9,8.8,0.1
Adams,NY,67.7,21.6,8.5,0.2
Adams,OR,58.3,29.8,10.2,0.0
Adams,TN,73.7,18.0,7.4,0.0
Adams,WI,80.8,12.2,5.9,0.0
Adams Center,NY,68.5,21.2,3.4,0.0
Adams Run,SC,75.2,18.4,5.4,0.0
Adamsburg,PA,84.7,7.4,2.8,0.0
Adamstown,MD,68.9,24.9,5.9,0.1
Adamstown,PA,85.9,4.9,8.6,0.0
Adamsville,AL,77.1,18.0,4.4,0.0
Adamsville,OH,83.2,5.6,2.1,0.4
Adamsville,PA,79.9,6.3,8.2,0.0
Adamsville,TN,74.6,13.1,9.8,0.0
Addieville,IL,80.4,11.8,7.4,0.0
Addis,LA,79.4,16.0,4.4,0.0
Addison,AL,75.2,11.8,11.1,0.0
Addison,IL,89.7,6.5,3.5,0.2
Addison,ME,66.4,13.4,19.8,0.0
Addison,MI,81.1,11.0,6.0,0.1
Addison,NY,63.1,10.2,5.7,0.1
Addison,PA,73.3,17.7,7.4,0.8
Addison,TX,91.6,5.6,2.8,0.0
Addy,WA,70.1,19.7,7.1,0.8
Addyston,OH,82.2,11.4,5.6,0.3
Adel,GA,75.7,16.0,6.3,0.0
Adel,IA,78.7,14.3,6.3,0.2
Adel,OR,57.4,17.0,21.3,0.0
Adelanto,CA,63.0,11.4,5.4,0.1
Adell,WI,81.7,8.0,7.8,0.1
Adelphi,OH,77.1,17.6,5.3,0.0
Adena,OH,81.9,12.1,4.8,0.0
Adger,AL,83.1,12.3,2.9,0.0
Adin,CA,63.6,18.2,9.1,0.0
Adirondack,NY,68.7,16.6,13.5,0.0
Adkins,TX,72.2,18.5,8.7,0.1
Admire,KS,67.5,19.9,10.8,0.0
Adolphus,KY,70.5,8.9,18.0,0.0
Adona,AR,74.4,15.7,7.2,0.0
Adrian,GA,74.4,16.8,6.7,0.2
Adrian,MI,83.8,10.8,5.1,0.1
Adrian,MN,72.9,10.4,14.7,0.4
Adrian,MO,74.2,11.8,13.3,0.4
Adrian,OR,64.6,17.7,14.8,1.4
Adrian,PA,86.3,10.2,3.0,0.0
Adrian,TX,82.4,11.7,5.0,0.0
Advance,MO,81.9,11.0,6.0,0.0
Advance,NC,80.5,11.9,7.4,0.2
Afton,IA,71.8,15.0,11.6,0.8
Afton,MI,81.8,9.1,7.3,0.2
Afton,MN,93.1,4.4,2.4,0.0
Afton,NY,66.2,19.4,13.4,0.0
Afton,OK,66.3,13.8,9.1,0.0
Afton,TN,77.0,15.8,6.0,0.2
Afton,TX,63.8,21.3,10.6,0.0
Afton,VA,57.9,10.7,5.8,0.0
Afton,WY,75.9,14.4,7.6,0.0
Agar,SD,63.8,18.8,15.9,0.0
Agate,CO,66.2,20.0,12.5,0.0
Agawam,MA,78.1,16.4,5.3,0.1
Agency,IA,88.3,8.0,3.5,0.0
Agency,MO,81.1,10.2,7.6,0.5
Agenda,KS,83.2,7.7,8.6,0.0
Ages Brookside,KY,50.0,0.0,0.0,0.0
Agness,OR,55.0,27.0,16.0,0.0
Agoura Hills,CA,79.5,8.2,12.1,0.1
Agra,KS,72.7,12.8,13.9,0.0
Agra,OK,67.8,10.0,3.6,0.0
Agua Dulce,TX,69.4,16.7,8.3,0.0
Aguanga,CA,71.5,11.3,11.6,0.1
Aguilar,CO,65.7,28.4,6.0,0.0
Ahmeek,MI,73.8,23.7,0.8,0.0
Ahoskie,NC,74.9,20.3,3.5,0.0
Ahsahka,ID,66.0,24.5,9.4,0.0
Ahwahnee,CA,66.6,15.7,9.6,0.4
Aiea,HI,62.2,34.2,3.3,0.2
Aiken,SC,77.8,15.1,5.2,0.2
Ailey,GA,79.1,14.4,6.1,0.0
Aimwell,LA,64.3,22.9,11.4,0.0
Ainsworth,IA,80.5,7.5,5.2,0.0
Ainsworth,NE,66.1,15.8,17.9,0.2
Airville,PA,80.1,10.7,8.0,0.0
Airway Heights,WA,69.6,29.7,0.7,0.0
Aitkin,MN,79.4,12.5,7.1,0.0
Akeley,MN,71.9,16.1,9.8,0.2
Akron,AL,75.1,19.8,4.2,0.0
Akron,CO,62.8,20.9,15.6,0.0
Akron,IA,76.4,8.0,5.6,0.0
Akron,IN,82.9,8.1,6.2,0.0
Akron,MI,80.4,9.9,6.1,0.0
Akron,NY,79.9,13.6,2.3,0.1
Akron,OH,85.2,9.5,3.5,0.0
Akron,PA,88.4,3.4,6.4,0.3
Alabaster,AL,81.6,12.9,4.1,0.3
Alachua,FL,70.1,23.8,5.7,0.2
Aladdin,WY,72.3,17.0,10.3,0.0
Alamance,NC,79.8,13.8,6.4,0.0
Alameda,CA,75.8,15.0,9.0,0.2
Alamo,CA,79.5,8.8,11.4,0.1
Alamo,GA,68.8,21.4,6.1,0.0
Alamo,IN,82.4,13.2,2.9,0.0
Alamo,ND,72.2,7.5,17.6,0.0
Alamo,NV,50.9,44.8,3.9,0.0
Alamo,TN,78.8,15.0,5.8,0.0
Alamo,TX,72.1,14.2,10.6,0.0
Alamogordo,NM,67.4,24.0,6.2,0.6
Alamosa,CO,75.9,14.7,7.9,0.9
Alanson,MI,79.8,9.7,9.3,0.0
Alapaha,GA,77.0,11.8,4.8,0.3
Alba,TX,73.1,14.0,12.7,0.0
Albany,CA,64.9,21.5,12.5,0.0
Albany,GA,73.0,20.6,4.4,0.1
Albany,IL,82.7,11.7,4.6,0.2
Albany,IN,81.1,11.2,4.9,0.6
Albany,KY,63.3,13.4,4.4,0.0
Albany,LA,72.7,21.5,5.5,0.1
Albany,MN,80.3,8.0,7.2,0.0
Albany,MO,76.8,10.1,4.6,0.0
Albany,NY,72.0,22.5,3.5,0.0
Albany,OH,71.1,20.7,7.2,0.4
Albany,OR,76.2,13.9,5.1,0.0
Albany,TX,61.2,8.7,4.9,0.1
Albany,VT,70.2,12.3,14.0,0.0
Albany,WI,77.6,9.6,5.8,0.2
Albemarle,NC,75.0,17.2,7.2,0.1
Albers,IL,69.8,18.0,2.0,0.0
Albert,KS,61.2,20.3,16.6,0.0
Albert City,IA,74.3,9.7,11.2,0.1
Albert Lea,MN,83.6,8.9,7.1,0.0
Alberta,AL,71.4,24.4,1.7,0.0
Alberta,MN,70.1,15.2,12.8,0.6
Alberta,VA,68.5,23.8,2.4,0.0
Alberton,MT,77.7,15.2,6.9,0.0
Albertson,NC,81.5,9.8,8.6,0.0
Albertson,NY,78.9,12.0,8.0,0.0
Albertville,AL,80.9,11.5,7.2,0.1
Albertville,MN,87.4,6.2,3.3,0.3
Albia,IA,70.0,9.4,7.8,0.0
Albin,WY,61.9,27.4,7.1,1.8
Albion,CA,51.4,10.0,34.3,3.6
Albion,IA,75.8,15.0,6.4,0.0
Albion,ID,69.0,15.0,15.0,0.0
Albion,IL,82.7,8.9,7.8,0.0
Albion,IN,84.5,8.4,4.4,0.1
Albion,ME,72.9,18.4,8.3,0.0
Albion,MI,83.7,10.0,3.9,0.0
Albion,NE,71.3,13.0,15.3,0.1
Albion,NY,78.4,15.5,5.3,0.0
Albion,PA,83.3,10.6,5.4,0.2
Alborn,MN,78.2,13.7,2.2,0.0
Albright,WV,66.9,12.1,4.0,0.1
Albrightsville,PA,67.7,6.1,3.1,0.0
Albuquerque,NM,72.7,19.3,5.6,0.1
Alburgh,VT,72.4,15.4,11.9,0.0
Alburnett,IA,81.8,5.8,5.1,0.0
Alburtis,PA,87.0,6.2,4.7,0.0
Alcester,SD,77.9,8.4,12.0,0.2
Alcoa,TN,87.7,7.1,3.9,0.2
Alcolu,SC,74.5,18.9,5.1,0.0
Alcova,WY,78.6,7.1,0.0,0.0
Alcove,NY,67.0,25.0,6.0,0.0
Alda,NE,79.6,11.9,6.1,0.0
Alden,IA,75.0,6.0,6.3,0.0
Alden,KS,69.8,8.8,4.0,0.0
Alden,MI,80.4,8.7,10.1,0.0
Alden,MN,78.1,7.0,14.5,0.0
Alden,NY,79.8,16.1,3.7,0.0
Alder Creek,NY,61.0,7.8,3.1,0.0
Alderpoint,CA,60.9,13.0,21.7,0.0
Alderson,OK,100.0,0.0,0.0,0.0
Alderson,WV,76.6,14.9,7.6,0.0
Aldie,VA,75.8,16.5,7.2,0.2
Aldrich,MN,75.8,12.9,8.9,0.0
Aldrich,MO,74.1,12.1,9.2,0.9
Aledo,IL,79.5,11.6,8.2,0.0
Aledo,TX,77.0,14.4,6.2,0.2
Aleppo,PA,83.9,12.5,2.7,0.0
Alex,OK,71.0,15.1,8.6,0.0
Alexander,AR,78.3,17.9,3.5,0.0
Alexander,IA,75.4,11.3,8.8,0.0
Alexander,IL,73.4,15.2,10.3,0.0
Alexander,KS,53.6,17.9,21.4,0.0
Alexander,NC,81.5,11.0,6.4,0.0
Alexander,ND,67.8,12.9,17.3,1.5
Alexander,NY,70.8,19.4,6.6,0.1
Alexander City,AL,81.2,13.6,3.8,0.2
Alexandria,AL,71.0,22.9,2.7,0.0
Alexandria,IN,72.8,8.8,4.8,0.0
Alexandria,KY,84.1,12.4,3.4,0.1
Alexandria,LA,76.1,18.5,4.1,0.2
Alexandria,MN,80.0,12.3,7.2,0.1
Alexandria,MO,76.3,13.7,9.4,0.3
Alexandria,NE,65.1,6.4,11.6,0.0
Alexandria,OH,79.6,11.0,4.2,0.0
Alexandria,PA,79.5,12.7,4.1,0.0
Alexandria,SD,37.2,6.9,5.6,0.2
Alexandria,TN,80.3,14.1,4.7,0.0
Alexandria,VA,68.8,25.2,5.1,0.1
Alexandria Bay,NY,66.0,25.4,7.8,0.0
Alexis,IL,70.4,5.2,6.2,0.0
Alexis,NC,84.3,8.9,6.0,0.0
Alford,FL,64.2,22.6,5.5,0.0
Alfred,ME,79.6,5.9,4.5,0.0
Alfred,NY,74.1,20.7,4.9,0.1
Alfred Station,NY,71.5,19.0,7.4,0.3
Alger,MI,82.3,11.2,5.6,0.0
Alger,OH,82.7,9.4,1.6,0.5
Algodones,NM,60.3,30.9,7.2,0.0
Algoma,WI,81.8,10.7,6.8,0.2
Algona,IA,75.2,12.3,12.3,0.0
Algonac,MI,82.4,13.4,4.1,0.0
Algonquin,IL,81.5,7.3,3.4,0.0
Alhambra,CA,77.5,16.3,5.5,0.3
Alhambra,IL,79.8,14.6,1.4,0.1
Alice,TX,76.5,14.3,8.4,0.3
Aliceville,AL,75.8,17.9,5.7,0.0
Alicia,AR,70.8,21.9,6.7,0.0
Aline,OK,68.0,18.6,12.1,0.0
