City,State_Id,Income,IncomeErr,IncomePerCap,IncomePerCapErr
Aaronsburg,PA,10258.0,1258.0,4516.0,324.0
Abbeville,AL,27895.8,6168.8,15016.5,2161.2
Abbeville,GA,14165.7,3522.0,5631.3,1339.0
Abbeville,LA,26087.2,5041.7,12330.7,1597.9
Abbeville,MS,7885.3,1314.7,4145.0,634.3
Abbeville,SC,14370.5,2768.8,7995.7,905.7
Abbot,ME,9460.0,974.0,5748.0,663.5
Abbotsford,WI,8692.0,840.8,4280.5,415.2
Abbott,TX,6351.0,1124.7,3078.3,306.7
Abbottstown,PA,16540.0,1357.7,7647.3,424.0
Abbyville,KS,2450.0,174.5,1266.5,125.0
Abell,MD,6564.0,1247.0,3997.0,661.0
Aberdeen,ID,23075.0,1898.0,9929.0,1129.0
Aberdeen,MD,34688.9,4613.3,17934.4,2490.0
Aberdeen,MS,16566.1,4716.0,9571.4,1560.9
Aberdeen,NC,12947.2,1560.6,6073.9,821.9
Aberdeen,OH,26091.0,3437.0,18772.0,4917.0
Aberdeen,SD,40003.8,6059.1,22770.6,3524.2
Aberdeen,WA,26200.9,4585.7,12757.1,1592.2
Aberdeen Proving Ground,MD,63903.0,6134.0,26079.0,2398.0
Abernathy,TX,18405.7,1462.3,8219.0,928.7
Abie,NE,76.0,7.0,37.0,3.0
Abilene,KS,23782.2,4434.3,12042.3,1284.8
Abilene,TX,24842.5,4169.0,12760.1,2038.2
Abingdon,IL,10874.0,1250.8,5237.8,671.2
Abingdon,MD,63170.8,7259.1,26593.7,2734.0
Abingdon,VA,26840.6,4279.6,15504.8,1899.5
Abington,MA,64766.5,8425.2,29421.8,2802.5
Abington,PA,39689.2,6118.9,17848.9,2285.6
Abiquiu,NM,783.0,118.0,505.0,90.0
Abita Springs,LA,9222.0,1390.3,4749.7,529.8
Abrams,WI,17726.0,1317.5,8511.0,541.0
Absaraka,ND,1276.0,131.0,640.0,61.0
Absarokee,MT,7100.3,1080.3,4483.0,643.7
Absecon,NJ,42873.4,11618.4,17040.7,2162.1
Acampo,CA,58569.5,12812.5,28518.5,4745.5
Accident,MD,7903.0,964.3,3979.0,363.3
Accokeek,MD,67854.0,6081.2,25810.2,2687.8
Accomac,VA,2866.4,583.0,1633.6,308.4
Accord,NY,21321.7,3446.7,12485.3,2077.0
Achille,OK,75.0,8.0,43.0,5.0
Ackerly,TX,8268.5,1772.5,3791.5,579.0
Ackerman,MS,16868.3,3975.3,11012.3,1646.0
Ackley,IA,9868.2,831.4,5594.0,555.2
Ackworth,IA,5621.0,439.3,2399.0,279.3
Acme,LA,1302.0,428.0,486.0,101.0
Acme,PA,9736.4,1545.2,4926.6,439.8
Acme,WA,2278.0,203.0,1061.0,127.0
Acra,NY,4693.5,827.5,2388.5,246.5
Acton,CA,35932.0,6323.2,15605.6,2190.6
Acton,MA,61563.0,6952.3,26490.9,2607.2
Acton,ME,11887.0,900.0,5327.5,338.5
Acton,MT,3879.0,454.0,1765.0,196.0
Acushnet,MA,18894.7,4174.1,8767.4,832.6
Acworth,GA,39017.7,5401.5,16021.6,1787.5
Acworth,NH,2713.0,160.0,1293.0,94.0
Ada,MI,33727.8,4459.1,15282.7,1982.1
Ada,MN,19406.7,2191.7,10174.7,874.0
Ada,OH,13831.2,2093.0,6021.2,529.0
Ada,OK,31522.8,4037.9,16069.9,1573.0
Adah,PA,4675.3,1185.0,2388.3,401.0
Adair,IA,13366.5,1285.5,7231.5,924.5
Adair,IL,6741.0,2444.0,4360.0,604.0
Adair,OK,15249.5,1592.0,7059.5,703.0
Adairsville,GA,10062.1,1438.2,5063.2,635.5
Adairville,KY,15428.5,1882.0,8509.5,1290.5
Adamant,VT,2075.0,250.0,1074.0,77.0
Adams,KY,2233.0,548.0,1231.0,161.0
Adams,MA,39166.8,7982.0,21583.0,2293.5
Adams,MN,9212.0,783.5,4692.0,254.0
Adams,ND,13765.0,906.0,8498.0,803.0
