City,State,Population,Violent crime,Murder and nonnegligent manslaughter,Rape2,Robbery,Aggravated assault,Property crime,Burglary,Larceny- theft,Motor vehicle theft,Arson,Rape1
Hoover,AL,85670.0,114.0,4.0,15.0,27.0,68.0,1922.0,128.0,1694.0,100.0,0.0,0.0
Adelanto,CA,34491.0,276.0,1.0,0.0,42.0,213.0,459.0,136.0,209.0,114.0,0.0,20.0
Agoura Hills,CA,20490.0,21.0,0.0,0.0,4.0,11.0,306.0,66.0,223.0,17.0,0.0,6.0
Alameda,CA,78907.0,162.0,0.0,0.0,94.0,61.0,2579.0,218.0,1958.0,403.0,0.0,7.0
Albany,CA,20083.0,40.0,0.0,0.0,21.0,11.0,685.0,105.0,534.0,46.0,0.0,8.0
Alhambra,CA,84837.0,161.0,2.0,0.0,89.0,59.0,1749.0,259.0,1303.0,187.0,0.0,11.0
Aliso Viejo,CA,52247.0,27.0,1.0,0.0,13.0,10.0,433.0,57.0,351.0,25.0,0.0,3.0
Alturas,CA,2471.0,10.0,0.0,0.0,1.0,7.0,30.0,14.0,13.0,3.0,0.0,2.0
American Canyon,CA,20452.0,53.0,0.0,0.0,7.0,39.0,454.0,59.0,368.0,27.0,0.0,7.0
Anaheim,CA,353915.0,1120.0,8.0,0.0,396.0,575.0,8258.0,1123.0,5904.0,1231.0,0.0,141.0
Anderson,CA,10545.0,61.0,1.0,0.0,12.0,43.0,363.0,63.0,208.0,92.0,0.0,5.0
Angels Camp,CA,3909.0,6.0,0.0,0.0,1.0,3.0,74.0,19.0,45.0,10.0,0.0,2.0
Antioch,CA,112641.0,648.0,12.0,0.0,238.0,343.0,3199.0,511.0,2078.0,610.0,0.0,55.0
Apple Valley,CA,74051.0,339.0,4.0,0.0,68.0,248.0,1105.0,230.0,660.0,215.0,0.0,19.0
Arcadia,CA,58899.0,84.0,1.0,0.0,35.0,38.0,1348.0,301.0,973.0,74.0,0.0,10.0
Arcata,CA,18332.0,72.0,1.0,0.0,16.0,43.0,605.0,122.0,425.0,58.0,0.0,12.0
Arroyo Grande,CA,18188.0,27.0,0.0,0.0,7.0,18.0,275.0,35.0,219.0,21.0,0.0,2.0
Artesia,CA,16779.0,72.0,1.0,0.0,28.0,41.0,284.0,90.0,161.0,33.0,0.0,2.0
Arvin,CA,21811.0,196.0,3.0,0.0,16.0,174.0,437.0,115.0,178.0,144.0,0.0,3.0
Atascadero,CA,30579.0,65.0,0.0,0.0,7.0,51.0,493.0,96.0,360.0,37.0,0.0,7.0
Atherton,CA,7222.0,12.0,0.0,0.0,4.0,6.0,110.0,32.0,74.0,4.0,0.0,2.0
Atwater,CA,29632.0,206.0,1.0,0.0,22.0,173.0,1031.0,140.0,708.0,183.0,0.0,10.0
Auburn,CA,14201.0,50.0,0.0,0.0,5.0,37.0,237.0,72.0,146.0,19.0,0.0,8.0
Avalon,CA,3722.0,10.0,0.0,0.0,0.0,8.0,40.0,7.0,28.0,5.0,0.0,2.0
Avenal,CA,12991.0,69.0,0.0,0.0,3.0,59.0,58.0,26.0,28.0,4.0,0.0,7.0
Azusa,CA,50405.0,144.0,5.0,0.0,46.0,76.0,959.0,174.0,646.0,139.0,0.0,17.0
Bakersfield,CA,388080.0,1766.0,34.0,0.0,701.0,915.0,16074.0,3888.0,9277.0,2909.0,0.0,116.0
Baldwin Park,CA,75862.0,188.0,1.0,0.0,50.0,113.0,1110.0,196.0,606.0,308.0,0.0,24.0
Banning,CA,31450.0,136.0,2.0,0.0,27.0,91.0,532.0,179.0,210.0,143.0,0.0,16.0
Barstow,CA,24121.0,274.0,5.0,0.0,82.0,177.0,986.0,285.0,527.0,174.0,0.0,10.0
Bear Valley,CA,5507.0,11.0,0.0,0.0,0.0,4.0,44.0,6.0,36.0,2.0,0.0,7.0
Beaumont,CA,50990.0,92.0,2.0,0.0,38.0,38.0,922.0,178.0,548.0,196.0,0.0,14.0
Bell,CA,35759.0,168.0,0.0,0.0,37.0,120.0,441.0,127.0,224.0,90.0,0.0,11.0
Bellflower,CA,77196.0,327.0,1.0,0.0,107.0,190.0,1506.0,326.0,860.0,320.0,0.0,29.0
Bell Gardens,CA,42366.0,147.0,0.0,0.0,69.0,74.0,630.0,78.0,334.0,218.0,0.0,4.0
Belmont,CA,27272.0,45.0,1.0,0.0,1.0,35.0,392.0,50.0,312.0,30.0,0.0,8.0
Belvedere,CA,2114.0,1.0,0.0,0.0,0.0,1.0,15.0,2.0,13.0,0.0,0.0,0.0
Benicia,CA,28471.0,16.0,0.0,0.0,13.0,2.0,377.0,72.0,250.0,55.0,0.0,1.0
Berkeley,CA,122788.0,618.0,0.0,0.0,369.0,175.0,6256.0,771.0,4993.0,492.0,0.0,74.0
Beverly Hills,CA,34211.0,103.0,1.0,0.0,52.0,44.0,1499.0,257.0,1197.0,45.0,0.0,6.0
Big Bear,CA,5311.0,76.0,0.0,0.0,4.0,65.0,135.0,30.0,92.0,13.0,0.0,7.0
Biggs,CA,1726.0,3.0,0.0,0.0,0.0,2.0,17.0,3.0,10.0,4.0,0.0,1.0
Bishop,CA,3731.0,34.0,0.0,0.0,6.0,19.0,183.0,29.0,150.0,4.0,0.0,9.0
Blythe,CA,19889.0,92.0,0.0,0.0,29.0,56.0,644.0,177.0,434.0,33.0,0.0,7.0
Bradbury,CA,1089.0,1.0,0.0,0.0,1.0,0.0,10.0,2.0,6.0,2.0,0.0,0.0
Brawley,CA,26379.0,121.0,2.0,0.0,8.0,107.0,618.0,95.0,468.0,55.0,0.0,4.0
Brea,CA,44155.0,72.0,0.0,0.0,29.0,33.0,1450.0,169.0,1209.0,72.0,0.0,10.0
Brentwood,CA,65483.0,166.0,0.0,0.0,67.0,83.0,1335.0,142.0,1095.0,98.0,0.0,16.0
Brisbane,CA,4746.0,10.0,0.0,0.0,0.0,8.0,137.0,64.0,52.0,21.0,0.0,2.0
Broadmoor,CA,4446.0,11.0,0.0,0.0,7.0,2.0,82.0,15.0,55.0,12.0,0.0,2.0
Buellton,CA,5142.0,3.0,0.0,0.0,0.0,3.0,54.0,15.0,31.0,8.0,0.0,0.0
Buena Park,CA,82627.0,246.0,1.0,0.0,91.0,139.0,2061.0,230.0,1567.0,264.0,0.0,15.0
Burbank,CA,103738.0,189.0,1.0,0.0,54.0,123.0,2617.0,299.0,2107.0,211.0,0.0,11.0
Burlingame,CA,30677.0,74.0,0.0,0.0,25.0,40.0,1185.0,162.0,937.0,86.0,0.0,9.0
Calabasas,CA,24016.0,35.0,1.0,0.0,15.0,13.0,331.0,81.0,226.0,24.0,0.0,6.0
Calexico,CA,40327.0,94.0,0.0,0.0,21.0,70.0,894.0,244.0,470.0,180.0,0.0,3.0
California City,CA,14319.0,83.0,0.0,0.0,15.0,55.0,281.0,102.0,120.0,59.0,0.0,13.0
Calimesa,CA,9073.0,22.0,0.0,0.0,7.0,15.0,280.0,51.0,193.0,36.0,0.0,0.0
Calistoga,CA,5341.0,6.0,0.0,0.0,0.0,6.0,70.0,7.0,54.0,9.0,0.0,0.0
Camarillo,CA,69628.0,58.0,0.0,0.0,16.0,20.0,817.0,100.0,676.0,41.0,0.0,22.0
Campbell,CA,42697.0,89.0,0.0,0.0,21.0,46.0,1357.0,209.0,990.0,158.0,0.0,22.0
Canyon Lake,CA,11353.0,15.0,0.0,0.0,1.0,14.0,74.0,15.0,47.0,12.0,0.0,0.0
Capitola,CA,10101.0,30.0,0.0,0.0,6.0,21.0,528.0,53.0,454.0,21.0,0.0,3.0
Carlsbad,CA,117220.0,240.0,3.0,0.0,39.0,158.0,2135.0,297.0,1671.0,167.0,0.0,40.0
Carmel,CA,3877.0,11.0,0.0,0.0,0.0,11.0,103.0,20.0,81.0,2.0,0.0,0.0
Carpinteria,CA,13514.0,11.0,1.0,0.0,3.0,7.0,155.0,19.0,116.0,20.0,0.0,0.0
Carson,CA,91947.0,444.0,5.0,0.0,122.0,286.0,2004.0,328.0,1277.0,399.0,0.0,31.0
Cathedral City,CA,55346.0,144.0,7.0,0.0,48.0,70.0,602.0,182.0,227.0,193.0,0.0,19.0
Central Marin,CA,34793.0,32.0,0.0,0.0,10.0,16.0,1094.0,360.0,684.0,50.0,0.0,6.0
Ceres,CA,49134.0,209.0,1.0,0.0,59.0,137.0,1158.0,239.0,628.0,291.0,0.0,12.0
Cerritos,CA,50642.0,127.0,1.0,0.0,65.0,51.0,1634.0,314.0,1198.0,122.0,0.0,10.0
Chico,CA,95826.0,557.0,0.0,0.0,104.0,353.0,2406.0,272.0,1753.0,381.0,0.0,100.0
Chino,CA,93348.0,329.0,3.0,0.0,96.0,195.0,2224.0,376.0,1649.0,199.0,0.0,35.0
Chino Hills,CA,84577.0,95.0,1.0,0.0,20.0,64.0,891.0,222.0,606.0,63.0,0.0,10.0
Chowchilla,CA,18792.0,39.0,0.0,0.0,3.0,34.0,234.0,71.0,109.0,54.0,0.0,2.0
Chula Vista,CA,275230.0,904.0,3.0,0.0,265.0,575.0,3816.0,486.0,2503.0,827.0,0.0,61.0
Citrus Heights,CA,88496.0,313.0,1.0,0.0,76.0,190.0,2248.0,372.0,1607.0,269.0,0.0,46.0
Claremont,CA,36681.0,51.0,0.0,0.0,23.0,22.0,774.0,191.0,552.0,31.0,0.0,6.0
Clayton,CA,12356.0,1.0,0.0,0.0,1.0,0.0,155.0,14.0,137.0,4.0,0.0,0.0
Clearlake,CA,15400.0,119.0,1.0,0.0,36.0,63.0,460.0,146.0,210.0,104.0,0.0,19.0
Cloverdale,CA,8910.0,16.0,0.0,0.0,0.0,15.0,116.0,25.0,87.0,4.0,0.0,1.0
Clovis,CA,114170.0,243.0,0.0,0.0,32.0,157.0,2276.0,307.0,1810.0,159.0,0.0,54.0
Coachella,CA,46485.0,126.0,0.0,0.0,43.0,74.0,894.0,135.0,580.0,179.0,0.0,9.0
Coalinga,CA,16356.0,41.0,0.0,0.0,4.0,35.0,217.0,38.0,159.0,20.0,0.0,2.0
Colma,CA,1512.0,28.0,0.0,0.0,20.0,8.0,325.0,36.0,263.0,26.0,0.0,0.0
Colton,CA,55059.0,215.0,1.0,0.0,103.0,102.0,1517.0,317.0,836.0,364.0,0.0,9.0
Colusa,CA,5903.0,6.0,0.0,0.0,1.0,1.0,78.0,28.0,34.0,16.0,0.0,4.0
