,State,State Abbreviations,County,Violent crime,Murder and nonnegligent manslaughter,Rape1,Robbery,Aggravated assault,Property crime,Burglary,Larceny- theft,Motor vehicle theft,Arson
0,ALABAMA,AL,Autauga,51,0,6,5,40,372,92,240,40,0
1,ALABAMA,AL,Baldwin,223,0,9,37,177,615,173,397,45,0
2,ALABAMA,AL,Blount,375,1,19,5,350,796,191,492,113,0
3,ALABAMA,AL,Bullock,7,0,0,3,4,42,23,17,2,0
4,ALABAMA,AL,Calhoun,14,0,5,7,2,144,49,95,0,0
5,ALABAMA,AL,Chambers,0,0,0,0,0,70,29,39,2,0
6,ALABAMA,AL,Cherokee,65,0,11,1,53,295,101,160,34,0
7,ALABAMA,AL,Clarke,18,0,8,1,9,49,25,16,8,0
8,ALABAMA,AL,Clay,1,0,0,0,1,65,32,32,1,0
9,ALABAMA,AL,Cleburne,8,0,2,1,5,144,43,90,11,0
10,ALABAMA,AL,Coffee,18,1,3,0,14,132,55,65,12,0
11,ALABAMA,AL,Coosa,41,0,3,0,38,171,64,100,7,0
12,ALABAMA,AL,Covington,4,0,0,0,4,37,14,19,4,0
13,ALABAMA,AL,Cullman,52,1,23,2,26,911,235,553,123,0
14,ALABAMA,AL,Dale,31,0,9,1,21,147,39,99,9,0
15,ALABAMA,AL,Dallas,76,1,11,10,54,427,131,255,41,0
16,ALABAMA,AL,DeKalb,113,2,35,2,74,624,198,318,108,0
17,ALABAMA,AL,Elmore,68,4,30,12,22,669,178,427,64,0
18,ALABAMA,AL,Etowah,99,2,32,1,64,444,152,233,59,0
19,ALABAMA,AL,Fayette,2,0,1,0,1,72,32,27,13,0
20,ALABAMA,AL,Geneva,40,1,7,2,30,202,74,112,16,0
21,ALABAMA,AL,Greene,31,0,2,1,28,123,45,60,18,0
22,ALABAMA,AL,Houston,121,1,9,19,92,657,187,400,70,0
23,ALABAMA,AL,Jefferson,729,10,45,128,546,2255,1181,888,186,0
24,ALABAMA,AL,Lamar,6,0,1,0,5,64,27,33,4,0
25,ALABAMA,AL,Lawrence,48,0,8,3,37,351,112,195,44,0
26,ALABAMA,AL,Lee,417,2,23,10,382,1015,263,620,132,0
27,ALABAMA,AL,Macon,19,1,4,2,12,68,29,21,18,0
28,ALABAMA,AL,Madison,390,2,46,42,300,2007,486,1306,215,0
29,ALABAMA,AL,Marengo,30,0,3,3,24,149,53,77,19,0
30,ALABAMA,AL,Marshall,89,0,14,4,71,370,134,193,43,0
31,ALABAMA,AL,Mobile,147,1,9,23,114,2008,564,1130,314,0
32,ALABAMA,AL,Monroe,27,2,0,0,25,56,19,29,8,0
33,ALABAMA,AL,Montgomery,111,0,8,10,93,404,136,230,38,0
34,ALABAMA,AL,Pike,27,0,3,3,21,124,45,69,10,0
35,ALABAMA,AL,Russell,40,2,9,6,23,268,70,158,40,0
36,ALABAMA,AL,St. Clair,221,1,11,1,208,416,130,255,31,0
