TotalPop,Men,Women,City,State_Id,Hispanic,White,Black,Native,Asian,Pacific
1056,532,524,Aaronsburg,PA,1.0,97.4,0.0,0.0,0.7,0.0
6693,3361,3329,Abbeville,AL,2.8,59.7,36.5,0.0,0.0,0.0
4683,3205,1478,Abbeville,GA,4.3,47.6,46.4,0.1,0.0,0.0
25185,12341,12839,Abbeville,LA,3.5,66.7,24.6,0.2,3.3,0.0
2078,1033,1042,Abbeville,MS,3.1,61.1,33.1,0.0,0.3,0.0
12661,6381,6277,Abbeville,SC,1.0,63.7,34.3,0.0,0.0,0.0
667,341,324,Abbot,ME,2.2,94.2,0.3,0.1,0.0,0.0
2935,1486,1448,Abbotsford,WI,14.3,84.3,0.0,0.0,0.1,0.0
995,518,477,Abbott,TX,16.9,77.7,4.1,0.0,0.1,0.0
4080,1977,2102,Abbottstown,PA,3.2,94.9,0.6,0.0,0.2,0.0
259,134,123,Abbyville,KS,3.5,93.8,0.0,0.0,0.0,0.0
344,161,183,Abell,MD,1.2,80.5,9.6,0.6,0.0,0.0
2733,1385,1348,Aberdeen,ID,34.2,63.0,0.0,0.4,0.4,0.0
23743,11290,12448,Aberdeen,MD,5.6,58.6,27.5,0.2,3.6,0.0
10900,5333,5566,Aberdeen,MS,1.3,45.9,50.0,0.0,0.1,0.0
13898,7020,6875,Aberdeen,NC,4.4,61.0,25.5,2.1,2.5,0.0
2433,1150,1282,Aberdeen,OH,1.1,94.9,0.9,0.0,0.0,0.0
31062,15128,15930,Aberdeen,SD,2.1,87.5,2.0,3.7,3.1,0.0
22924,11939,10981,Aberdeen,WA,15.3,75.1,1.2,2.4,1.5,0.8
2459,1491,968,Aberdeen Proving Ground,MD,13.1,46.0,29.4,0.0,4.4,0.0
3990,2164,1826,Abernathy,TX,44.2,50.7,1.6,0.4,0.1,0.0
3,1,1,Abie,NE,0.0,100.0,0.0,0.0,0.0,0.0
9883,4947,4933,Abilene,KS,3.8,93.0,0.6,0.7,0.1,0.0
126493,64658,61812,Abilene,TX,25.7,60.8,9.0,0.5,1.9,0.0
3906,1808,2095,Abingdon,IL,1.2,95.4,0.4,0.0,0.0,0.0
29574,14336,15236,Abingdon,MD,6.3,73.7,13.0,0.1,3.4,0.0
23640,11619,12017,Abingdon,VA,1.3,95.1,1.8,0.1,0.8,0.0
16295,7568,8726,Abington,MA,2.4,89.8,2.7,0.0,2.4,0.0
16784,7880,8897,Abington,PA,4.4,69.4,16.9,0.2,5.2,0.0
84,35,48,Abiquiu,NM,81.0,15.5,0.0,1.2,0.0,0.0
8878,4302,4572,Abita Springs,LA,5.0,88.8,2.7,1.3,1.1,0.0
2558,1309,1248,Abrams,WI,0.9,97.5,0.3,0.2,0.3,0.0
38,19,18,Absaraka,ND,0.0,97.4,0.0,0.0,0.0,0.0
877,433,442,Absarokee,MT,3.4,93.7,0.0,1.7,0.0,0.0
40278,18887,21385,Absecon,NJ,12.9,60.9,13.0,0.2,10.6,0.1
8159,3982,4177,Acampo,CA,31.1,64.8,0.0,0.2,1.9,0.1
1919,956,963,Accident,MD,1.1,97.9,0.0,0.1,0.2,0.0
11287,5479,5806,Accokeek,MD,2.8,17.2,68.6,0.7,5.5,0.0
1928,922,1002,Accomac,VA,20.0,36.3,41.1,0.0,0.1,0.0
3609,1844,1765,Accord,NY,4.4,88.3,2.4,0.1,0.7,0.0
3,1,1,Achille,OK,0.0,66.7,0.0,0.0,0.0,0.0
424,219,204,Ackerly,TX,35.1,63.9,0.0,0.0,0.2,0.0
3633,1784,1848,Ackerman,MS,0.6,63.5,34.7,0.4,0.3,0.1
2451,1213,1236,Ackley,IA,6.0,92.3,0.0,0.4,0.0,0.0
609,295,311,Ackworth,IA,1.8,93.6,0.3,0.3,0.0,1.5
144,97,46,Acme,LA,0.7,69.4,27.8,0.0,0.0,0.0
3918,1923,1992,Acme,PA,0.3,98.9,0.1,0.0,0.1,0.0
392,206,186,Acme,WA,13.0,79.3,0.0,3.6,1.8,0.0
690,332,357,Acra,NY,1.9,92.3,0.6,0.0,3.9,0.0
7832,4076,3756,Acton,CA,20.7,72.0,1.8,0.3,1.5,0.0
23146,11617,11524,Acton,MA,1.9,69.2,2.3,0.1,24.6,0.2
2638,1358,1279,Acton,ME,1.1,97.5,0.2,0.6,0.2,0.0
251,128,122,Acton,MT,3.2,91.6,0.4,2.4,0.0,0.0
10150,4999,5148,Acushnet,MA,2.2,91.3,0.0,0.0,1.3,0.0
97840,48527,49299,Acworth,GA,9.1,70.7,14.8,0.2,2.8,0.0
139,68,70,Acworth,NH,1.4,94.2,0.7,0.0,0.7,0.0
20378,10181,10194,Ada,MI,1.4,91.8,1.1,0.1,3.9,0.0
2468,1198,1268,Ada,MN,7.6,86.4,0.6,2.9,0.3,0.0
8336,4208,4125,Ada,OH,1.8,91.6,1.4,0.0,2.9,0.0
31106,15148,15955,Ada,OK,5.2,65.4,2.3,8.8,0.9,0.1
1467,817,650,Adah,PA,1.4,88.3,7.0,0.0,0.0,0.0
1352,663,689,Adair,IA,2.4,94.9,0.6,0.0,0.6,0.0
330,170,159,Adair,IL,0.6,97.9,0.9,0.0,0.0,0.0
3427,1630,1796,Adair,OK,2.1,69.0,0.2,15.9,0.1,0.7
14578,7293,7281,Adairsville,GA,4.0,89.8,4.6,0.0,0.2,0.0
2364,1092,1270,Adairville,KY,3.4,87.8,6.6,0.0,0.5,0.0
77,38,39,Adamant,VT,1.3,93.5,0.0,0.0,0.0,0.0
260,134,125,Adams,KY,0.8,97.7,0.0,0.0,0.0,0.0
8239,4184,4054,Adams,MA,0.9,96.9,0.8,0.0,0.4,0.0
1416,735,681,Adams,MN,1.7,94.4,0.3,0.1,0.4,0.0
297,155,141,Adams,ND,1.3,91.9,0.0,0.0,0.0,0.0
1530,771,755,Adams,NE,0.4,98.3,0.0,0.0,0.1,0.0
4703,2407,2293,Adams,NY,2.4,93.5,0.7,0.2,1.8,0.0
1040,519,519,Adams,OR,5.3,72.4,0.4,14.7,1.2,0.5
5162,2581,2577,Adams,TN,4.9,84.7,5.2,0.1,2.9,0.3
3265,1700,1563,Adams,WI,5.6,87.4,2.8,0.4,1.5,0.0
2314,1204,1108,Adams Center,NY,2.7,93.1,0.1,0.3,2.4,0.0
1938,892,1046,Adams Run,SC,2.8,43.8,52.6,0.0,0.1,0.0
255,123,132,Adamsburg,PA,0.4,97.6,0.0,0.0,0.0,0.0
3765,1910,1853,Adamstown,MD,3.1,87.5,5.6,0.0,1.5,0.0
299,153,146,Adamstown,PA,6.7,86.6,1.3,0.0,3.7,0.0
7876,3779,4092,Adamsville,AL,0.6,54.6,43.6,0.0,0.0,0.0
1079,543,536,Adamsville,OH,0.6,97.7,1.1,0.2,0.0,0.0
330,168,161,Adamsville,PA,0.3,98.2,0.0,0.0,0.0,0.0
5468,2688,2779,Adamsville,TN,1.2,94.0,2.5,0.1,0.4,0.2
1115,539,575,Addieville,IL,0.9,97.0,0.4,0.0,0.0,0.0
5995,2930,3063,Addis,LA,3.1,62.9,31.6,0.7,0.3,0.0
2411,1186,1224,Addison,AL,0.2,97.6,0.0,0.2,0.1,0.0
39184,19553,19630,Addison,IL,38.9,50.2,3.4,0.0,6.3,0.0
1201,619,582,Addison,ME,2.1,94.5,0.1,0.7,0.8,0.1
1949,983,963,Addison,MI,0.9,97.0,0.1,0.5,0.1,0.0
5511,2714,2793,Addison,NY,0.7,97.3,0.3,0.1,0.5,0.0
678,324,353,Addison,PA,0.4,99.0,0.3,0.0,0.0,0.0
15676,7960,7715,Addison,TX,27.4,45.1,11.1,0.2,11.7,0.0
1396,726,667,Addy,WA,1.1,91.2,0.4,2.1,0.4,0.0
918,447,470,Addyston,OH,1.6,94.3,0.8,0.8,0.0,0.0
10501,5081,5418,Adel,GA,5.3,63.0,29.4,0.3,0.6,0.0
6626,3356,3270,Adel,IA,0.9,96.2,0.5,0.1,0.9,0.0
122,60,62,Adel,OR,7.4,90.2,0.0,0.8,0.0,0.0
33085,16769,16315,Adelanto,CA,61.6,15.1,19.8,0.0,1.4,0.3
1883,968,915,Adell,WI,2.5,95.1,0.1,0.1,0.3,0.0
271,145,126,Adelphi,OH,0.4,97.8,0.0,0.0,0.4,0.0
2483,1171,1309,Adena,OH,0.0,98.7,0.1,0.0,0.0,0.0
3162,1650,1510,Adger,AL,1.1,89.8,7.5,1.1,0.0,0.0
59,30,28,Adin,CA,16.9,72.9,0.0,3.4,0.0,0.0
367,180,187,Adirondack,NY,0.5,96.2,0.0,0.0,0.0,0.0
7602,3870,3732,Adkins,TX,32.6,61.8,3.2,0.2,0.1,0.2
310,149,161,Admire,KS,2.6,91.6,0.3,0.0,1.6,0.0
2537,1315,1221,Adolphus,KY,2.0,95.9,0.0,0.0,0.6,0.0
479,243,235,Adona,AR,4.4,90.2,0.2,0.8,0.0,0.0
2741,1389,1348,Adrian,GA,4.2,86.5,8.4,0.0,0.0,0.0
40796,20870,19921,Adrian,MI,13.3,78.4,5.0,0.4,0.2,0.1
1922,1003,918,Adrian,MN,4.5,91.0,0.9,0.3,1.5,0.0
4514,2214,2298,Adrian,MO,0.9,95.8,1.3,0.0,0.5,0.0
576,303,272,Adrian,OR,19.8,71.7,0.0,4.3,1.6,0.2
1030,518,511,Adrian,PA,0.7,98.5,0.0,0.0,0.0,0.0
597,346,250,Adrian,TX,15.4,75.7,5.5,0.0,0.0,0.0
3054,1521,1530,Advance,MO,0.9,97.8,0.3,0.1,0.0,0.0
14864,6957,7906,Advance,NC,5.2,90.3,2.4,0.1,1.1,0.0
1619,803,816,Afton,IA,0.6,98.5,0.1,0.2,0.2,0.0
709,365,343,Afton,MI,0.1,94.6,0.0,2.0,0.1,0.0
2982,1505,1476,Afton,MN,2.3,93.6,0.7,0.1,2.3,0.0
2673,1424,1248,Afton,NY,1.3,96.6,0.8,0.4,0.3,0.0
7336,3712,3620,Afton,OK,2.7,73.7,0.0,16.3,0.2,0.1
4974,2444,2528,Afton,TN,2.7,94.7,1.5,0.1,0.1,0.0
140,74,65,Afton,TX,27.1,68.6,2.9,0.0,0.0,0.0
3876,1860,2014,Afton,VA,3.8,89.2,4.1,0.0,0.3,0.0
2774,1382,1391,Afton,WY,4.9,91.4,0.4,0.1,0.4,0.0
132,72,60,Agar,SD,0.8,95.5,0.0,0.8,0.0,0.0
459,237,222,Agate,CO,3.7,94.1,0.0,1.1,0.0,0.0
17069,8033,9036,Agawam,MA,6.5,88.7,1.0,0.0,2.5,0.2
1061,519,542,Agency,IA,1.2,97.4,0.1,0.1,0.0,0.4
1544,788,754,Agency,MO,1.9,90.5,1.6,0.1,0.0,0.0
