Employed,Unemployment,City,State_Id
502,3.1,Aaronsburg,PA
2485,6.8,Abbeville,AL
824,3.9,Abbeville,GA
10437,7.3,Abbeville,LA
887,7.9,Abbeville,MS
4836,10.4,Abbeville,SC
264,6.4,Abbot,ME
1447,2.6,Abbotsford,WI
436,4.1,Abbott,TX
2264,3.3,Abbottstown,PA
105,5.0,Abbyville,KS
139,5.5,Abell,MD
1102,5.0,Aberdeen,ID
11529,7.1,Aberdeen,MD
4473,6.0,Aberdeen,MS
5920,6.2,Aberdeen,NC
947,8.3,Aberdeen,OH
16709,1.9,Aberdeen,SD
8498,8.2,Aberdeen,WA
833,5.1,Aberdeen Proving Ground,MD
1739,4.5,Abernathy,TX
1,0.0,Abie,NE
4561,4.6,Abilene,KS
56165,4.1,Abilene,TX
1599,5.8,Abingdon,IL
16223,4.8,Abingdon,MD
10740,6.1,Abingdon,VA
9313,6.1,Abington,MA
8935,5.7,Abington,PA
29,8.3,Abiquiu,NM
3987,7.9,Abita Springs,LA
1442,3.3,Abrams,WI
20,0.0,Absaraka,ND
416,2.7,Absarokee,MT
19460,11.4,Absecon,NJ
3470,6.4,Acampo,CA
913,4.8,Accident,MD
6190,6.0,Accokeek,MD
749,4.0,Accomac,VA
1904,10.8,Accord,NY
1,0.0,Achille,OK
176,3.5,Ackerly,TX
1228,11.0,Ackerman,MS
1295,3.1,Ackley,IA
302,2.5,Ackworth,IA
36,4.9,Acme,LA
1866,5.8,Acme,PA
154,17.1,Acme,WA
331,5.7,Acra,NY
3574,11.4,Acton,CA
12193,4.0,Acton,MA
1314,4.5,Acton,ME
133,2.0,Acton,MT
5257,5.8,Acushnet,MA
49407,6.4,Acworth,GA
68,2.9,Acworth,NH
9987,3.7,Ada,MI
1137,4.5,Ada,MN
4149,5.4,Ada,OH
14121,5.0,Ada,OK
497,9.8,Adah,PA
667,3.5,Adair,IA
163,6.7,Adair,IL
1546,3.6,Adair,OK
6592,6.3,Adairsville,GA
931,6.0,Adairville,KY
44,3.9,Adamant,VT
70,6.2,Adams,KY
4216,6.5,Adams,MA
700,1.8,Adams,MN
165,1.0,Adams,ND
844,0.7,Adams,NE
2065,7.0,Adams,NY
458,7.2,Adams,OR
2446,3.9,Adams,TN
1211,9.1,Adams,WI
1042,7.1,Adams Center,NY
843,8.2,Adams Run,SC
116,5.1,Adamsburg,PA
1853,5.6,Adamstown,MD
163,3.0,Adamstown,PA
3108,10.3,Adamsville,AL
482,6.3,Adamsville,OH
149,2.7,Adamsville,PA
1870,13.8,Adamsville,TN
583,3.9,Addieville,IL
3147,5.1,Addis,LA
980,8.3,Addison,AL
19598,6.9,Addison,IL
536,8.6,Addison,ME
817,7.4,Addison,MI
2326,8.4,Addison,NY
243,8.3,Addison,PA
11268,4.1,Addison,TX
500,7.8,Addy,WA
394,8.1,Addyston,OH
4193,5.8,Adel,GA
