PrivateWork,PublicWork,SelfEmployed,FamilyWork,City,State_Id
76.5,10.8,12.4,0.0,Aaronsburg,PA
81.7,13.5,4.5,0.0,Abbeville,AL
58.9,33.5,6.9,0.0,Abbeville,GA
81.9,12.8,5.0,0.0,Abbeville,LA
78.9,14.2,6.5,0.0,Abbeville,MS
80.1,11.7,7.8,0.2,Abbeville,SC
67.8,17.0,13.3,0.0,Abbot,ME
82.9,6.9,9.7,0.3,Abbotsford,WI
72.9,15.6,10.3,0.5,Abbott,TX
83.2,11.2,5.5,0.0,Abbottstown,PA
75.2,13.3,9.5,0.0,Abbyville,KS
55.4,33.8,6.5,2.9,Abell,MD
70.4,21.9,7.6,0.0,Aberdeen,ID
72.8,23.0,3.9,0.2,Aberdeen,MD
81.8,13.0,4.7,0.2,Aberdeen,MS
75.0,17.2,7.6,0.0,Aberdeen,NC
86.4,8.2,5.3,0.0,Aberdeen,OH
82.0,12.0,5.8,0.2,Aberdeen,SD
72.9,19.1,7.6,0.2,Aberdeen,WA
57.7,40.3,1.7,0.0,Aberdeen Proving Ground,MD
77.8,15.6,6.0,0.2,Abernathy,TX
100.0,0.0,0.0,0.0,Abie,NE
76.5,14.4,8.5,0.4,Abilene,KS
78.4,15.5,5.8,0.2,Abilene,TX
79.2,12.3,8.0,0.0,Abingdon,IL
75.4,21.2,3.3,0.0,Abingdon,MD
77.4,16.3,6.2,0.0,Abingdon,VA
84.5,12.3,2.9,0.3,Abington,MA
85.5,10.5,3.9,0.0,Abington,PA
27.6,62.1,10.3,0.0,Abiquiu,NM
80.1,11.0,8.6,0.1,Abita Springs,LA
84.8,9.6,5.3,0.1,Abrams,WI
80.0,10.0,5.0,0.0,Absaraka,ND
75.7,7.0,15.6,0.7,Absarokee,MT
79.5,15.9,4.3,0.2,Absecon,NJ
67.6,16.3,15.6,0.4,Acampo,CA
69.4,18.1,11.9,0.2,Accident,MD
57.8,38.8,3.2,0.0,Accokeek,MD
81.7,13.2,4.1,0.0,Accomac,VA
73.1,16.1,10.7,0.0,Accord,NY
0.0,0.0,0.0,0.0,Achille,OK
63.1,9.1,23.9,1.7,Ackerly,TX
69.0,23.9,6.3,0.5,Ackerman,MS
72.4,14.9,12.0,0.1,Ackley,IA
80.1,11.3,7.0,0.0,Ackworth,IA
72.2,16.7,5.6,0.0,Acme,LA
85.5,8.0,6.1,0.0,Acme,PA
73.4,21.4,5.2,0.0,Acme,WA
67.1,25.4,6.6,0.0,Acra,NY
70.3,17.9,11.5,0.1,Acton,CA
82.5,10.4,7.0,0.0,Acton,MA
74.3,16.5,9.0,0.0,Acton,ME
76.7,13.5,9.0,0.0,Acton,MT
76.1,15.4,6.6,1.8,Acushnet,MA
83.4,11.6,4.8,0.1,Acworth,GA
73.5,16.2,8.8,0.0,Acworth,NH
87.0,6.5,6.2,0.2,Ada,MI
70.4,16.0,12.7,0.2,Ada,MN
85.7,12.5,1.3,0.2,Ada,OH
65.2,28.1,6.0,0.5,Ada,OK
82.5,13.3,3.4,0.0,Adah,PA
76.6,13.3,9.4,0.1,Adair,IA
69.3,17.8,11.0,0.0,Adair,IL
76.1,16.1,7.1,0.6,Adair,OK
79.9,14.7,5.1,0.0,Adairsville,GA
84.9,5.8,7.1,1.6,Adairville,KY
68.2,20.5,9.1,0.0,Adamant,VT
82.9,8.6,5.7,0.0,Adams,KY
80.0,11.4,7.4,1.0,Adams,MA
80.9,10.0,8.6,0.1,Adams,MN
65.5,12.1,21.2,0.0,Adams,ND
70.7,14.7,13.6,0.4,Adams,NE
71.9,20.1,7.5,0.1,Adams,NY
54.4,33.6,10.9,0.0,Adams,OR
72.9,20.2,6.6,0.0,Adams,TN
80.3,12.6,6.6,0.1,Adams,WI
74.4,19.2,5.9,0.0,Adams Center,NY
72.8,19.2,7.6,0.0,Adams Run,SC
87.1,6.0,5.2,0.0,Adamsburg,PA
71.8,22.0,5.7,0.3,Adamstown,MD
85.9,4.9,8.6,0.0,Adamstown,PA
74.4,21.3,4.1,0.0,Adamsville,AL
83.2,11.2,4.1,0.8,Adamsville,OH
78.5,7.4,10.1,0.0,Adamsville,PA
75.9,10.3,13.4,0.0,Adamsville,TN
80.4,11.8,7.4,0.0,Addieville,IL
78.9,16.3,4.6,0.0,Addis,LA
