Professional,Service,Office,Construction,Production,City,State_Id
27.5,21.1,18.9,15.5,16.5,Aaronsburg,PA
23.5,21.7,20.0,7.3,26.9,Abbeville,AL
25.4,29.4,13.3,13.8,16.7,Abbeville,GA
25.5,18.7,26.9,14.4,14.2,Abbeville,LA
31.7,20.4,14.3,8.8,23.9,Abbeville,MS
25.8,21.5,19.5,11.0,21.7,Abbeville,SC
30.3,14.0,15.9,17.0,21.2,Abbot,ME
24.8,12.2,17.1,14.5,30.9,Abbotsford,WI
31.4,13.5,24.5,13.5,15.4,Abbott,TX
30.5,13.8,22.4,10.5,22.4,Abbottstown,PA
26.7,17.1,21.9,17.1,13.3,Abbyville,KS
38.1,12.9,21.6,18.7,7.9,Abell,MD
31.4,13.0,15.7,20.9,19.0,Aberdeen,ID
32.1,20.6,25.4,7.5,14.2,Aberdeen,MD
20.7,20.9,19.6,8.7,29.6,Aberdeen,MS
36.2,25.1,19.3,5.3,13.8,Aberdeen,NC
27.6,20.5,18.1,17.5,16.1,Aberdeen,OH
32.6,16.4,24.5,9.2,17.2,Aberdeen,SD
28.2,24.9,21.6,10.0,15.0,Aberdeen,WA
42.0,11.2,38.2,4.3,4.0,Aberdeen Proving Ground,MD
24.3,17.3,25.1,21.2,11.6,Abernathy,TX
0.0,0.0,0.0,0.0,0.0,Abie,NE
28.8,17.7,25.3,10.9,17.0,Abilene,KS
29.9,22.7,25.1,11.4,10.6,Abilene,TX
23.8,16.4,24.7,9.8,24.6,Abingdon,IL
46.9,12.5,24.0,7.6,8.8,Abingdon,MD
40.1,16.6,24.4,5.4,13.2,Abingdon,VA
40.8,19.0,25.1,8.4,6.5,Abington,MA
49.7,13.5,24.3,5.1,7.0,Abington,PA
44.8,24.1,13.8,3.4,3.4,Abiquiu,NM
33.9,18.3,21.2,15.1,11.0,Abita Springs,LA
30.1,11.0,21.6,16.4,20.9,Abrams,WI
40.0,10.0,15.0,15.0,10.0,Absaraka,ND
29.8,16.1,17.1,26.2,9.4,Absarokee,MT
31.5,28.1,26.2,7.2,6.8,Absecon,NJ
33.5,22.6,17.2,11.0,15.6,Acampo,CA
31.0,16.4,19.4,17.3,15.2,Accident,MD
41.4,17.7,27.4,6.5,6.8,Accokeek,MD
23.0,24.6,17.1,17.0,16.8,Accomac,VA
38.5,23.3,23.4,8.8,5.5,Accord,NY
0.0,0.0,0.0,0.0,0.0,Achille,OK
26.1,10.8,22.2,28.4,9.7,Ackerly,TX
33.1,14.2,21.2,14.6,16.4,Ackerman,MS
35.4,16.8,21.5,12.0,13.4,Ackley,IA
38.1,11.3,23.8,11.9,12.9,Ackworth,IA
27.8,8.3,25.0,19.4,11.1,Acme,LA
28.5,19.5,19.0,14.8,17.5,Acme,PA
29.2,22.7,16.2,17.5,13.0,Acme,WA
36.6,18.7,16.0,9.1,18.1,Acra,NY
37.8,18.8,18.2,12.2,12.7,Acton,CA
69.7,9.2,16.9,1.4,2.6,Acton,MA
27.6,17.5,26.1,14.0,14.5,Acton,ME
43.6,11.3,21.1,10.5,12.8,Acton,MT
