Poverty,ChildPoverty,City,State_Id
16.4,31.6,Aaronsburg,PA
18.7,38.6,Abbeville,AL
32.9,49.5,Abbeville,GA
21.2,26.7,Abbeville,LA
21.1,33.3,Abbeville,MS
24.4,35.9,Abbeville,SC
15.1,20.8,Abbot,ME
11.8,16.4,Abbotsford,WI
11.9,18.5,Abbott,TX
7.1,12.1,Abbottstown,PA
13.9,18.1,Abbyville,KS
16.6,37.2,Abell,MD
9.8,12.7,Aberdeen,ID
15.7,22.2,Aberdeen,MD
21.6,29.9,Aberdeen,MS
17.3,30.1,Aberdeen,NC
19.4,25.2,Aberdeen,OH
12.0,13.0,Aberdeen,SD
20.2,26.8,Aberdeen,WA
2.6,2.1,Aberdeen Proving Ground,MD
18.1,26.1,Abernathy,TX
0.0,0.0,Abie,NE
10.6,6.7,Abilene,KS
16.1,20.9,Abilene,TX
18.9,33.5,Abingdon,IL
6.7,7.0,Abingdon,MD
13.6,18.1,Abingdon,VA
3.6,3.3,Abington,MA
4.5,3.2,Abington,PA
21.4,29.8,Abiquiu,NM
11.6,12.8,Abita Springs,LA
7.3,11.2,Abrams,WI
2.6,5.3,Absaraka,ND
5.1,7.5,Absarokee,MT
9.6,14.9,Absecon,NJ
11.4,15.6,Acampo,CA
12.0,19.9,Accident,MD
4.2,7.5,Accokeek,MD
29.0,42.3,Accomac,VA
8.9,10.5,Accord,NY
0.0,0.0,Achille,OK
17.2,17.5,Ackerly,TX
24.7,45.1,Ackerman,MS
8.4,17.3,Ackley,IA
4.8,6.4,Ackworth,IA
18.1,6.2,Acme,LA
11.8,15.4,Acme,PA
24.5,34.4,Acme,WA
10.7,17.7,Acra,NY
9.5,9.3,Acton,CA
3.9,1.1,Acton,MA
7.2,5.0,Acton,ME
4.0,5.2,Acton,MT
4.1,1.8,Acushnet,MA
10.4,13.4,Acworth,GA
6.5,7.2,Acworth,NH
3.6,5.6,Ada,MI
11.0,17.6,Ada,MN
17.4,23.0,Ada,OH
17.8,22.7,Ada,OK
24.4,46.5,Adah,PA
8.9,7.3,Adair,IA
11.8,16.7,Adair,IL
10.9,15.1,Adair,OK
12.3,12.1,Adairsville,GA
20.9,34.2,Adairville,KY
6.5,6.5,Adamant,VT
35.0,41.2,Adams,KY
11.1,18.3,Adams,MA
10.7,14.5,Adams,MN
11.4,21.2,Adams,ND
4.0,5.8,Adams,NE
12.2,15.5,Adams,NY
16.1,24.6,Adams,OR
8.7,12.7,Adams,TN
19.3,35.8,Adams,WI
13.0,15.0,Adams Center,NY
17.5,22.5,Adams Run,SC
9.8,8.6,Adamsburg,PA
3.2,1.0,Adamstown,MD
5.0,0.7,Adamstown,PA
15.0,20.8,Adamsville,AL
12.0,19.3,Adamsville,OH
10.3,16.4,Adamsville,PA
24.2,35.4,Adamsville,TN
4.8,4.7,Addieville,IL
13.8,22.0,Addis,LA
16.1,19.2,Addison,AL
13.6,22.1,Addison,IL
13.7,10.7,Addison,ME
13.0,26.0,Addison,MI
18.3,27.0,Addison,NY
17.3,24.2,Addison,PA
9.2,13.9,Addison,TX
14.9,24.6,Addy,WA
14.1,24.4,Addyston,OH
24.2,31.1,Adel,GA
8.2,8.0,Adel,IA
16.4,12.3,Adel,OR
37.1,50.2,Adelanto,CA
4.9,5.3,Adell,WI
8.1,11.1,Adelphi,OH
10.0,13.6,Adena,OH
12.5,13.3,Adger,AL
10.2,5.1,Adin,CA
10.4,23.4,Adirondack,NY
6.7,9.8,Adkins,TX
7.4,14.2,Admire,KS
22.2,33.9,Adolphus,KY
13.6,17.7,Adona,AR
25.5,36.0,Adrian,GA
17.3,21.0,Adrian,MI
8.4,9.3,Adrian,MN
10.7,14.2,Adrian,MO
20.7,33.7,Adrian,OR
7.8,6.8,Adrian,PA
11.1,14.6,Adrian,TX
17.6,18.6,Advance,MO
9.6,14.9,Advance,NC
11.0,16.8,Afton,IA
18.2,20.7,Afton,MI
3.5,6.3,Afton,MN
10.3,10.0,Afton,NY
18.5,31.9,Afton,OK
15.0,20.4,Afton,TN
16.4,19.3,Afton,TX
6.0,7.0,Afton,VA
13.3,18.0,Afton,WY
3.0,0.8,Agar,SD
8.1,6.5,Agate,CO
11.0,14.4,Agawam,MA
11.8,16.1,Agency,IA
