Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,City,State_Id
69.5,12.4,0.2,3.8,3.6,10.2,27.7,Aaronsburg,PA
85.4,9.3,0.0,1.6,1.2,1.9,26.3,Abbeville,AL
88.1,6.7,0.0,1.3,0.6,1.8,29.6,Abbeville,GA
80.3,11.7,0.1,3.4,1.3,2.9,27.8,Abbeville,LA
85.3,10.0,0.8,0.2,0.0,2.8,31.1,Abbeville,MS
76.6,12.1,0.0,1.2,1.1,8.8,24.2,Abbeville,SC
81.8,6.4,0.0,0.8,1.1,8.0,28.8,Abbot,ME
75.7,10.0,0.1,4.6,2.0,7.0,17.8,Abbotsford,WI
78.0,14.2,0.0,1.1,1.4,3.9,29.4,Abbott,TX
87.8,5.7,0.2,0.7,0.7,4.6,26.4,Abbottstown,PA
80.0,10.5,1.9,2.9,1.0,1.9,25.7,Abbyville,KS
78.4,7.9,0.7,3.6,1.4,7.2,43.9,Abell,MD
77.5,11.5,0.4,1.7,0.6,7.9,20.1,Aberdeen,ID
80.7,11.4,2.2,2.4,1.3,1.7,26.0,Aberdeen,MD
82.6,13.7,0.3,0.4,0.2,2.3,25.5,Aberdeen,MS
86.5,8.3,0.0,0.7,1.1,3.3,21.1,Aberdeen,NC
83.2,12.4,0.0,2.5,0.6,1.0,38.6,Aberdeen,OH
83.4,8.3,0.3,2.4,2.2,3.3,11.7,Aberdeen,SD
76.6,12.7,0.9,2.3,1.9,5.1,21.1,Aberdeen,WA
79.5,4.0,0.4,10.4,0.0,5.4,14.3,Aberdeen Proving Ground,MD
84.7,10.2,0.0,0.9,0.6,3.2,20.2,Abernathy,TX
100.0,0.0,0.0,0.0,0.0,0.0,0.0,Abie,NE
80.5,9.3,0.1,3.0,2.0,4.7,17.1,Abilene,KS
81.2,10.3,0.7,2.0,0.9,4.7,16.4,Abilene,TX
81.9,11.6,0.0,1.6,0.0,4.4,20.3,Abingdon,IL
83.2,9.3,2.1,0.7,0.3,4.1,32.9,Abingdon,MD
83.9,8.0,0.1,0.9,1.3,5.5,23.5,Abingdon,VA
75.8,10.1,10.5,0.5,0.9,2.1,33.1,Abington,MA
80.0,5.2,8.6,2.0,0.5,3.2,29.5,Abington,PA
82.8,3.4,3.4,0.0,0.0,3.4,37.9,Abiquiu,NM
81.4,11.6,0.0,0.6,1.5,4.7,30.7,Abita Springs,LA
85.0,7.3,0.0,1.7,0.3,5.6,28.3,Abrams,WI
75.0,10.0,0.0,5.0,0.0,5.0,25.0,Absaraka,ND
57.2,17.1,1.2,9.9,2.9,10.3,18.5,Absarokee,MT
80.1,7.7,4.8,2.6,2.1,2.5,23.3,Absecon,NJ
75.9,8.8,1.3,2.4,2.0,9.4,27.9,Acampo,CA
78.2,12.2,0.4,1.8,0.2,6.6,26.7,Accident,MD
77.8,11.7,6.8,0.2,0.4,2.9,40.5,Accokeek,MD
77.2,16.7,0.3,2.0,0.1,2.7,21.5,Accomac,VA
76.5,8.1,4.0,1.2,1.2,8.6,31.8,Accord,NY
100.0,0.0,0.0,0.0,0.0,0.0,0.0,Achille,OK
