"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Aberdeen, SD","10100",2020,180,166,14,0,0,0,0,61,48,23,0,0,0,0,142,38
"Aberdeen, WA","10140",2020,244,242,2,0,0,0,0,83,28,17,0,0,0,0,244,0
"Adjuntas, PR","10260",2020,18,18,0,0,0,0,0,37,32,12,0,0,0,0,18,0
"Adrian, MI","10300",2020,182,149,32,1,0,0,0,122,56,39,0,0,102,0,80,0
"Akron, OH","10420",2020,274,203,68,3,0,0,0,107,63,43,0,0,132,0,142,0
"Albany, GA","10500",2020,244,182,60,2,0,0,0,114,63,37,0,0,0,0,244,0
"Albany, OR","10540",2020,182,161,21,0,0,0,0,70,51,19,0,0,0,0,182,0
"Albany-Schenectady-Troy, NY","10580",2020,274,240,34,0,0,0,0,75,53,39,1,0,169,0,104,0
"Albuquerque, NM","10740",2020,183,101,82,0,0,0,0,100,65,50,1,0,127,0,25,30
"Alexandria, LA","10780",2020,61,57,3,1,0,0,0,103,47,22,0,0,0,0,61,0
"Allentown-Bethlehem-Easton, PA-NJ","10900",2020,244,206,38,0,0,0,0,93,54,39,0,4,148,0,92,0
"Altoona, PA","11020",2020,239,206,33,0,0,0,0,85,54,40,0,0,155,1,83,0
"Amarillo, TX","11100",2020,244,160,77,7,0,0,0,138,74,46,0,0,212,26,6,0
"Americus, GA","11140",2020,212,209,3,0,0,0,0,64,45,34,0,0,212,0,0,0
"Anchorage, AK","11260",2020,183,158,24,1,0,0,0,103,57,26,4,0,0,0,110,69
"Ann Arbor, MI","11460",2020,244,199,42,3,0,0,0,126,57,39,0,0,193,0,51,0
"Appleton, WI","11540",2020,182,149,31,2,0,0,0,126,58,39,0,0,81,3,98,0
"Ardmore, OK","11620",2020,271,178,92,1,0,0,0,147,64,44,0,0,133,0,138,0
"Arkadelphia, AR","11660",2020,221,220,1,0,0,0,0,67,41,31,0,0,221,0,0,0
"Asheville, NC","11700",2020,274,241,33,0,0,0,0,97,52,41,0,0,204,8,62,0
"Ashtabula, OH","11780",2020,274,257,17,0,0,0,0,93,46,35,0,0,211,63,0,0
"Athens, OH","11900",2020,51,49,2,0,0,0,0,55,44,25,0,0,0,0,51,0
"Athens, TN","11940",2020,174,164,10,0,0,0,0,88,40,22,0,0,0,0,174,0
"Athens-Clarke County, GA","12020",2020,244,219,25,0,0,0,0,99,51,37,0,0,109,0,135,0
"Atlanta-Sandy Springs-Roswell, GA","12060",2020,275,192,80,3,0,0,0,125,64,44,1,11,146,0,117,0
"Atlantic City-Hammonton, NJ","12100",2020,182,174,8,0,0,0,0,90,44,34,0,0,147,1,34,0
"Augusta-Richmond County, GA-SC","12260",2020,274,212,58,4,0,0,0,115,57,43,0,0,119,17,138,0
"Augusta-Waterville, ME","12300",2020,215,212,3,0,0,0,0,64,44,35,0,4,197,0,14,0
"Austin-Round Rock, TX","12420",2020,183,135,47,0,1,0,0,153,59,44,1,3,85,0,94,0
"Bakersfield, CA","12540",2020,214,89,116,8,1,0,0,197,90,55,1,0,140,0,67,6
"Baltimore-Columbia-Towson, MD","12580",2020,304,241,60,3,0,0,0,119,58,42,0,14,240,0,50,0
"Bangor, ME","12620",2020,305,295,10,0,0,0,0,73,44,31,0,0,209,0,94,2
"Baraboo, WI","12660",2020,182,150,31,1,0,0,0,112,56,39,0,0,80,0,102,0
"Barnstable Town, MA","12700",2020,203,196,5,2,0,0,0,108,46,38,0,0,200,0,3,0
"Bartlesville, OK","12780",2020,251,215,35,1,0,0,0,101,57,41,0,0,180,0,71,0
"Baton Rouge, LA","12940",2020,275,190,78,7,0,0,0,136,71,44,1,1,150,8,115,0
"Bay City, MI","13020",2020,181,177,4,0,0,0,0,55,38,19,0,0,0,0,181,0
"Beaumont-Port Arthur, TX","13140",2020,182,124,55,3,0,0,0,122,71,44,0,0,110,15,57,0
"Beaver Dam, WI","13180",2020,194,156,36,2,0,0,0,136,58,40,1,0,125,0,57,11
"Bellingham, WA","13380",2020,244,204,34,3,3,0,0,182,62,34,0,0,109,103,32,0
"Bemidji, MN","13420",2020,180,177,3,0,0,0,0,73,40,24,0,0,0,0,180,0
"Bend-Redmond, OR","13460",2020,182,182,0,0,0,0,0,33,23,13,0,0,0,0,182,0
"Bennington, VT","13540",2020,182,174,8,0,0,0,0,66,46,39,0,0,164,0,18,0
"Berlin, NH-VT","13620",2020,182,157,25,0,0,0,0,74,54,45,0,0,182,0,0,0
"Big Spring, TX","13700",2020,197,172,21,3,1,0,0,200,57,9,0,0,0,197,0,0
"Billings, MT","13740",2020,213,206,6,0,1,0,0,160,37,20,0,0,0,5,208,0
"Birmingham-Hoover, AL","13820",2020,245,145,97,3,0,0,0,129,67,47,1,1,93,7,143,0
"Bishop, CA","13860",2020,274,163,94,14,1,0,2,458,89,46,0,0,222,0,1,51
"Bismarck, ND","13900",2020,274,247,27,0,0,0,0,74,50,38,0,1,209,0,63,1
"Blacksburg-Christiansburg-Radford, VA","13980",2020,201,153,41,4,3,0,0,200,70,42,0,0,130,71,0,0
"Bloomington, IL","14010",2020,272,211,58,3,0,0,0,136,58,42,0,0,154,0,118,0
"Bloomington, IN","14020",2020,274,239,35,0,0,0,0,90,52,39,0,0,189,0,85,0
"Boise City, ID","14260",2020,183,148,35,0,0,0,0,76,59,42,1,2,99,0,78,3
"Borger, TX","14420",2020,212,139,45,28,0,0,0,145,105,26,0,0,0,212,0,0
"Boston-Cambridge-Newton, MA-NH","14460",2020,224,182,42,0,0,0,0,90,54,43,0,14,129,0,81,0
"Boulder, CO","14500",2020,277,162,99,15,1,0,0,161,84,48,0,0,208,0,68,1
"Bowling Green, KY","14540",2020,245,218,27,0,0,0,0,97,51,38,3,0,173,0,69,0
"Bozeman, MT","14580",2020,245,237,4,4,0,0,0,131,31,16,4,10,0,0,231,0
"Brainerd, MN","14660",2020,182,173,9,0,0,0,0,76,44,33,0,0,95,0,87,0
"Branson, MO","14700",2020,20,20,0,0,0,0,0,24,20,13,0,0,0,0,20,0
"Bremerton-Silverdale, WA","14740",2020,239,236,3,0,0,0,0,71,28,16,0,0,0,0,239,0
"Bridgeport-Stamford-Norwalk, CT","14860",2020,182,137,43,2,0,0,0,143,63,44,0,9,112,0,61,0
"Brookings, SD","15100",2020,182,161,21,0,0,0,0,87,54,39,0,0,168,0,12,2
"Brownsville-Harlingen, TX","15180",2020,182,106,68,5,3,0,0,176,72,45,0,0,42,0,140,0
"Brunswick, GA","15260",2020,234,229,5,0,0,0,0,96,44,31,0,0,190,0,44,0
"Buffalo-Cheektowaga-Niagara Falls, NY","15380",2020,275,234,39,0,2,0,0,155,54,38,1,4,217,1,52,0
