Metro-Area,State,Census,Estimate Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Abilene,TX,165252.00,165252.00,165585.00,166634.00,167442.00,167473.00,168342.00,169688.00,170017.00,170429.00,171150.00,172060.00
Akron,OH,703200.00,703196.00,703031.00,703200.00,702109.00,703621.00,704908.00,704382.00,703524.00,703987.00,703855.00,703479.00
Albany,GA,153857.00,154033.00,154145.00,154545.00,153976.00,152667.00,151949.00,150387.00,149137.00,148090.00,147840.00,146726.00
Albany-Lebanon,OR,116672.00,116681.00,116891.00,118164.00,118273.00,118405.00,119042.00,120236.00,122769.00,125035.00,127451.00,129749.00
Albany-Schenectady-Troy,NY,870716.00,870713.00,871082.00,872778.00,874698.00,877065.00,878113.00,879085.00,879792.00,882158.00,882263.00,880381.00
Albuquerque,NM,887077.00,887063.00,889558.00,898016.00,901939.00,904953.00,904538.00,906026.00,909237.00,912311.00,914947.00,918018.00
Alexandria,LA,153922.00,153918.00,154096.00,154402.00,154400.00,154623.00,154558.00,154082.00,154124.00,153549.00,152762.00,152037.00
Allentown-Bethlehem-Easton,PA-NJ,821173.00,821273.00,821923.00,824930.00,826144.00,825731.00,828470.00,830295.00,833163.00,837921.00,842626.00,844052.00
Altoona,PA,127089.00,127117.00,127045.00,126970.00,126544.00,125836.00,125274.00,124596.00,123708.00,123147.00,122503.00,121829.00
Amarillo,TX,251933.00,251935.00,252664.00,255975.00,257802.00,258896.00,260812.00,261618.00,262987.00,264331.00,264406.00,265053.00
Ames,IA,115848.00,115850.00,115925.00,117424.00,118139.00,120161.00,122092.00,123079.00,123309.00,123721.00,123093.00,123351.00
Anchorage,AK,380821.00,380821.00,383053.00,387922.00,391932.00,397022.00,397996.00,398609.00,401368.00,400570.00,397636.00,396317.00
Ann Arbor,MI,344791.00,345163.00,345717.00,349753.00,352303.00,356040.00,360021.00,362975.00,366135.00,368807.00,369483.00,367601.00
Anniston-Oxford,AL,118572.00,118526.00,118408.00,117744.00,117190.00,116471.00,115917.00,115469.00,114973.00,114710.00,114331.00,113605.00
Appleton,WI,225666.00,225667.00,225948.00,227548.00,228656.00,229978.00,231627.00,233146.00,234200.00,235811.00,237011.00,237974.00
Asheville,NC,424858.00,424863.00,425338.00,428113.00,430945.00,435795.00,439661.00,444593.00,450310.00,454855.00,459314.00,462680.00
Athens-Clarke County,GA,192541.00,192567.00,193439.00,194375.00,195984.00,197590.00,198361.00,202565.00,205402.00,209106.00,211468.00,213750.00
Atlanta-Sandy Springs-Alpharetta,GA,5286728.00,5286718.00,5302598.00,5366462.00,5444473.00,5510530.00,5593204.00,5686048.00,5787965.00,5872432.00,5945303.00,6020364.00
Atlantic City-Hammonton,NJ,274549.00,274525.00,274648.00,274621.00,274629.00,274314.00,272578.00,270153.00,267217.00,265498.00,263989.00,263670.00
Auburn-Opelika,AL,140247.00,140287.00,140794.00,144130.00,148567.00,151809.00,154511.00,156954.00,159168.00,161440.00,163656.00,164542.00
Augusta-Richmond County,GA-SC,564873.00,564893.00,566694.00,570849.00,576206.00,579802.00,583046.00,589574.00,595029.00,600276.00,604221.00,608980.00
Austin-Round Rock-Georgetown,TX,1716289.00,1716323.00,1727502.00,1780535.00,1834586.00,1883315.00,1942467.00,2002134.00,2062016.00,2115475.00,2165497.00,2227083.00
Bakersfield,CA,839631.00,839621.00,840996.00,847970.00,853606.00,862000.00,869176.00,876031.00,880856.00,887356.00,893758.00,900202.00
Baltimore-Columbia-Towson,MD,2710489.00,2710598.00,2715738.00,2733785.00,2754637.00,2768233.00,2780055.00,2790053.00,2794111.00,2798707.00,2800743.00,2800053.00
Bangor,ME,153923.00,153931.00,153861.00,153759.00,153347.00,153222.00,153201.00,151929.00,151333.00,151645.00,151817.00,152148.00
Barnstable Town,MA,215888.00,215880.00,215899.00,215356.00,214788.00,214518.00,214289.00,213877.00,213559.00,213581.00,213471.00,212990.00
Baton Rouge,LA,825905.00,825917.00,827629.00,831493.00,836197.00,841986.00,846827.00,851167.00,856723.00,854295.00,854526.00,854884.00
Battle Creek,MI,136146.00,136150.00,135951.00,135105.00,134737.00,134751.00,134804.00,134327.00,134344.00,134180.00,134049.00,134159.00
Bay City,MI,107771.00,107773.00,107679.00,107417.00,106967.00,106794.00,106046.00,105237.00,104411.00,104045.00,103702.00,103126.00
Beaumont-Port Arthur,TX,388745.00,388749.00,389251.00,390905.00,389614.00,391195.00,391651.00,394825.00,396539.00,398129.00,393815.00,392563.00
Beckley,WV,124898.00,124914.00,124949.00,125266.00,125110.00,124356.00,123342.00,122070.00,120475.00,118673.00,117154.00,115767.00
Bellingham,WA,201140.00,201146.00,201545.00,203490.00,204863.00,206073.00,208154.00,211836.00,216417.00,221410.00,225197.00,229247.00
Bend,OR,157733.00,157728.00,157742.00,159660.00,161359.00,165299.00,169512.00,174246.00,180666.00,186744.00,191905.00,197692.00
Billings,MT,167167.00,167165.00,167571.00,169017.00,170942.00,173367.00,174952.00,176357.00,177759.00,179365.00,180203.00,181667.00
Binghamton,NY,251725.00,251724.00,251489.00,250238.00,248945.00,248017.00,247075.00,245283.00,243322.00,241709.00,240366.00,238691.00
Birmingham-Hoover,AL,1061024.00,1061039.00,1061717.00,1064030.00,1067563.00,1072882.00,1076087.00,1079752.00,1082877.00,1085615.00,1087967.00,1090435.00
Bismarck,ND,110625.00,110625.00,111112.00,112865.00,115679.00,119240.00,122155.00,125325.00,127233.00,128115.00,128279.00,128949.00
Blacksburg-Christiansburg,VA,162958.00,162960.00,163131.00,163442.00,164120.00,165240.00,165688.00,165725.00,166572.00,166605.00,167492.00,167531.00
Bloomington,IL,169572.00,169577.00,169810.00,170909.00,172721.00,175037.00,174105.00,173141.00,173070.00,172754.00,172410.00,171517.00
Bloomington,IN,159549.00,159535.00,160132.00,161722.00,162852.00,163221.00,164422.00,165073.00,166655.00,167429.00,168092.00,169230.00
Bloomsburg-Berwick,PA,85562.00,85555.00,85657.00,85449.00,85472.00,85592.00,85538.00,84980.00,84390.00,83851.00,83455.00,83194.00
Boise City,ID,616561.00,616566.00,617866.00,627670.00,637425.00,649224.00,662624.00,674640.00,691285.00,709682.00,728911.00,749202.00
Boston-Cambridge-Newton,MA-NH,4552402.00,4552595.00,4566348.00,4609790.00,4656593.00,4702877.00,4746931.00,4778340.00,4809061.00,4841772.00,4859536.00,4873019.00
Boston,MA,1887792.00,1888025.00,1894717.00,1913107.00,1933463.00,1953625.00,1972382.00,1986314.00,2001862.00,2016866.00,2024799.00,2031884.00
Cambridge-Newton-Framingham,MA,2246244.00,2246215.00,2253142.00,2276355.00,2300205.00,2324767.00,2346646.00,2362297.00,2374511.00,2388396.00,2396653.00,2400733.00
Rockingham County-Strafford County,NH,418366.00,418355.00,418489.00,420328.00,422925.00,424485.00,427903.00,429729.00,432688.00,436510.00,438084.00,440402.00
