,Unnamed: 0,Unnamed: 0.1,State,City,occ_title,jobs_1000,loc_quotient,avg_hourly_salary,avg_annual_salary
0,0,0, TX,Abilene,All Occupations,1000.0,1.0,20.08,41760.0
1,286,286, PR,Aguadilla,All Occupations,1000.0,1.0,12.48,25960.0
2,286,286, PR,Isabela,All Occupations,1000.0,1.0,12.48,25960.0
3,467,467, OH,Akron,All Occupations,1000.0,1.0,23.75,49400.0
4,979,979, GA,Albany,All Occupations,1000.0,1.0,20.5,42640.0
5,1217,1217, OR,Albany,All Occupations,1000.0,1.0,22.8,47410.0
6,1472,1472, NY,Albany,All Occupations,1000.0,1.0,26.86,55860.0
7,1472,1472, NY,Schenectady,All Occupations,1000.0,1.0,26.86,55860.0
8,1472,1472, NY,Troy,All Occupations,1000.0,1.0,26.86,55860.0
9,2030,2030, NM,Albuquerque,All Occupations,1000.0,1.0,23.4,48660.0
10,2542,2542, LA,Alexandria,All Occupations,1000.0,1.0,19.43,40410.0
11,2793,2793, PA,Allentown,All Occupations,1000.0,1.0,23.23,48320.0
12,2793,2793, PA,Bethlehem,All Occupations,1000.0,1.0,23.23,48320.0
13,2793,2793, PA,Easton,All Occupations,1000.0,1.0,23.23,48320.0
14,2793,2793,NJ,Allentown,All Occupations,1000.0,1.0,23.23,48320.0
15,2793,2793,NJ,Bethlehem,All Occupations,1000.0,1.0,23.23,48320.0
16,2793,2793,NJ,Easton,All Occupations,1000.0,1.0,23.23,48320.0
17,3319,3319, PA,Altoona,All Occupations,1000.0,1.0,20.08,41770.0
18,3566,3566, TX,Amarillo,All Occupations,1000.0,1.0,21.22,44130.0
19,3913,3913, IA,Ames,All Occupations,1000.0,1.0,24.63,51220.0
20,4147,4147, AK,Anchorage,All Occupations,1000.0,1.0,28.85,60020.0
21,4583,4583, MI,Ann Arbor,All Occupations,1000.0,1.0,27.1,56370.0
22,5017,5017, AL,Anniston,All Occupations,1000.0,1.0,19.39,40330.0
23,5017,5017, AL,Oxford,All Occupations,1000.0,1.0,19.39,40330.0
24,5017,5017, AL,Jacksonville,All Occupations,1000.0,1.0,19.39,40330.0
25,5227,5227, WI,Appleton,All Occupations,1000.0,1.0,22.82,47460.0
26,5585,5585, PR,Arecibo,All Occupations,1000.0,1.0,12.41,25800.0
27,5734,5734, NC,Asheville,All Occupations,1000.0,1.0,21.55,44830.0
28,6170,6170, GA,Athens,All Occupations,1000.0,1.0,22.47,46730.0
29,6170,6170, GA,Clarke County,All Occupations,1000.0,1.0,22.47,46730.0
30,6459,6459, GA,Atlanta,All Occupations,1000.0,1.0,26.01,54110.0
31,6459,6459, GA,Sandy Springs,All Occupations,1000.0,1.0,26.01,54110.0
32,6459,6459, GA,Roswell,All Occupations,1000.0,1.0,26.01,54110.0
